unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754442783895,Target Loaded,27505,83.70022,86.03204,0,0,1,0.01965725,0.02331693,0.9706762,0.001206346,0.03536633,0.9712122,0.01141873,0.03505198,0.9690968,0.006312538,0.03520916,0.9701545,0.01526394,0.02390816,0.9706709,1.299353,0.8481144,1.054991,0.2609472,1.069177,0.6982958,0.8511084
1754442783895,Target Set,27505,83.70022,86.03204,0,0,1,0.01965725,0.02331693,0.9706762,0.001206346,0.03536633,0.9712122,0.01141873,0.03505198,0.9690968,0.006312538,0.03520916,0.9701545,0.01526394,0.02390816,0.9706709,1.299353,0.8481144,1.054991,0.2609472,1.069177,0.6982958,0.8511084
1754442783895,Playing,27505,83.70022,86.03204,0,0,1,0.01964396,0.02328926,0.9706807,0.001206346,0.03536633,0.9712122,0.01141873,0.03505198,0.9690968,0.006312538,0.03520916,0.9701545,0.01526394,0.02390816,0.9706709,1.299503,0.8488063,1.055547,0.2609472,1.069177,0.6982958,0.8511084
1754442783906,Playing,27506,102.4506,98.34598,0,0,1,0.01962177,0.02326799,0.9706802,0.001208827,0.03511059,0.9712151,0.01142115,0.03479611,0.9690993,0.006314989,0.03495335,0.9701571,0.01526567,0.02365165,0.9706707,1.29074,0.8367326,1.045114,0.2579304,1.069177,0.6982958,0.8511084
1754442783916,Playing,27507,86.0563,89.12872,0,0,1,0.01960633,0.02324756,0.9707003,0.001166314,0.03920664,0.9711775,0.01137873,0.03888273,0.9690633,0.006272521,0.03904469,0.9701204,0.01509788,0.0234809,0.9706901,1.43763,1.044739,1.21997,0.2661444,1.238279,0.9377435,1.056288
1754442783928,Playing,27508,73.31271,77.26671,0,0,1,0.01957384,0.02324386,0.9707276,0.0009814501,0.03915086,0.9712028,0.01119415,0.03882521,0.9690902,0.006087799,0.03898803,0.9701465,0.01491021,0.02342262,0.9707167,1.442522,1.04605,1.223493,0.2748253,1.238437,0.9375348,1.056288
1754442783939,Playing,27509,123.4842,111.9298,0,0,1,0.01955123,0.02324031,0.97076,0.0007294863,0.03921419,0.9712288,0.01094253,0.03888484,0.9691208,0.005836006,0.03904952,0.9701748,0.01462381,0.02344482,0.9707479,1.455353,1.055918,1.235272,0.2907402,1.238911,0.9394114,1.057214
1754442783951,Playing,27510,92.55489,97.39863,0,0,1,0.01951638,0.02322982,0.9707937,0.0004910082,0.03924353,0.9712591,0.0107045,0.03891601,0.9691509,0.005597752,0.03907977,0.9702049,0.01441748,0.023513,0.9707807,1.46607,1.063673,1.244898,0.301316,1.238279,0.9375348,1.056103
1754442783961,Playing,27511,90.88679,92.51475,0,0,1,0.01947781,0.02319991,0.9708137,0.006710894,0.04240366,0.9711171,0.01690996,0.04207707,0.9693563,0.01181043,0.04224037,0.9702367,0.01415378,0.02324264,0.9707995,1.359123,1.126396,1.211277,0.3140353,1.211115,1.125701,1.129692
1754442783972,Playing,27512,87.46534,88.72769,0,0,1,0.01944441,0.02315518,0.9708325,0.006411873,0.0420275,0.9711413,0.01661131,0.04170137,0.969378,0.01151159,0.04186443,0.9702597,0.01393754,0.02297514,0.9708173,1.35176,1.109417,1.199262,0.324455,1.206907,1.118726,1.123961
1754442783983,Playing,27513,94.95594,93.39888,0,0,1,0.0194089,0.02311145,0.9708484,0.008198068,0.04143039,0.9711219,0.01839418,0.04110862,0.969475,0.01329612,0.0412695,0.9702985,0.01362187,0.02231,0.9708313,1.265941,1.065694,1.130731,0.3443497,1.171028,1.146713,1.118901
1754442783994,Playing,27514,89.41265,90.40921,0,0,1,0.019382,0.02307713,0.9708791,0.007881485,0.04113592,0.9711504,0.01807828,0.04081633,0.9695137,0.01297988,0.04097613,0.970332,0.01319803,0.02208315,0.9708595,1.261916,1.051833,1.12187,0.3695653,1.165501,1.144492,1.115047
1754442784005,Playing,27515,90.89587,90.7742,0,0,1,0.0193593,0.02306505,0.9709226,0.007548511,0.04110466,0.9711944,0.01774569,0.0407862,0.9695534,0.0126471,0.04094543,0.9703739,0.01297788,0.02198588,0.9709018,1.270878,1.052019,1.126917,0.3815487,1.171028,1.146713,1.118901
1754442784017,Playing,27516,89.88683,90.10867,0,0,1,0.01934471,0.02307155,0.9709764,0.007487543,0.04119989,0.9712459,0.01768477,0.04088108,0.9696055,0.01258615,0.04104048,0.9704257,0.0129165,0.02208097,0.9709551,1.276562,1.057214,1.132806,0.3830841,1.170861,1.146542,1.118901
1754442784028,Playing,27517,89.83838,89.90595,0,0,1,0.01933709,0.02308294,0.9710197,0.007390268,0.04176914,0.971278,0.01758769,0.04145003,0.9696385,0.01248898,0.04160959,0.9704583,0.01279879,0.02184426,0.9709976,1.307011,1.09056,1.165333,0.3921704,1.216275,1.193046,1.166507
1754442784039,Playing,27518,89.31841,89.4653,0,0,1,0.01932766,0.02307045,0.9710558,0.007349238,0.04161087,0.9713164,0.01754672,0.04129123,0.9696772,0.01244798,0.04145105,0.9704968,0.0127563,0.02168561,0.9710333,1.300707,1.082094,1.15809,0.3961419,1.216275,1.193046,1.16634
1754442784050,Playing,27519,84.35686,85.63397,0,0,1,0.01932011,0.02304815,0.9710891,0.007432558,0.04345924,0.9713144,0.01762986,0.04313775,0.9696749,0.01253121,0.0432985,0.9704946,0.01277395,0.02118439,0.9710659,1.391845,1.191569,1.260053,0.4015385,1.349297,1.328691,1.304763
1754442784061,Playing,27520,86.85607,86.55054,0,0,1,0.01931854,0.02300964,0.9711233,0.007271223,0.04306218,0.971354,0.01746885,0.04274286,0.969716,0.01237004,0.04290251,0.970535,0.01261615,0.02078824,0.9710985,1.378424,1.171362,1.243168,0.416371,1.349442,1.328838,1.304763
1754442784072,Playing,27521,103.9836,99.62534,0,0,1,0.01931988,0.02297572,0.971169,0.007320024,0.04300484,0.9714006,0.01751766,0.04268737,0.9697621,0.01241884,0.04284611,0.9705814,0.01266886,0.02073186,0.9711444,1.375724,1.16969,1.240805,0.4140146,1.349442,1.328543,1.304763
