unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754513741191,Target Loaded,52555,88.75574,89.04208,0,0,1,0.03954696,-0.03784782,1.399437,0.06117339,-0.0690465,1.399758,0.06966649,-0.06903812,1.39675,0.06541994,-0.06904231,1.398254,0.03966597,-0.03788125,1.399442,1.549018,1.777622,1.657766,0,1.545224,1.773213,1.653511
1754513741191,Target Set,52555,88.75574,89.04208,0,0,1,0.03954696,-0.03784782,1.399437,0.06117339,-0.0690465,1.399758,0.06966649,-0.06903812,1.39675,0.06541994,-0.06904231,1.398254,0.03966597,-0.03788125,1.399442,1.549018,1.777622,1.657766,0,1.545224,1.773213,1.653511
1754513741191,Playing,52555,88.75574,89.04208,0,0,1,0.03954223,-0.03784817,1.399444,0.06108975,-0.06903993,1.399762,0.06958303,-0.06903137,1.396755,0.06533639,-0.06903565,1.398259,0.03958169,-0.03787512,1.399444,1.546869,1.774978,1.655403,0,1.545224,1.772992,1.653511
1754513741202,Playing,52556,90.22937,89.93255,0,0,1,0.03953755,-0.03779913,1.399444,0.06102788,-0.06883527,1.39977,0.0695211,-0.06882732,1.396759,0.06527449,-0.06883129,1.398264,0.03957701,-0.03782607,1.399444,1.540404,1.768793,1.649126,0,1.538624,1.767022,1.647107
1754513741213,Playing,52557,88.64552,88.96729,0,0,1,0.03953316,-0.03777048,1.399446,0.06136166,-0.06828279,1.39977,0.0698553,-0.06828122,1.396777,0.06560849,-0.06828201,1.398274,0.03957263,-0.03779742,1.399446,1.530846,1.763474,1.641871,0,1.529055,1.761475,1.639963
1754513741224,Playing,52558,89.98917,89.7337,0,0,1,0.03955256,-0.03774137,1.399447,0.06138826,-0.06814371,1.399775,0.06988183,-0.06814747,1.396782,0.06563504,-0.06814559,1.398278,0.03959202,-0.03776831,1.399447,1.527391,1.760698,1.638531,0,1.525596,1.758696,1.636618
1754513741235,Playing,52559,90.58311,90.37076,0,0,1,0.03956089,-0.03775624,1.399452,0.06137761,-0.06818175,1.39978,0.06987113,-0.06818993,1.396786,0.06562437,-0.06818584,1.398283,0.03960037,-0.03778319,1.399452,1.527519,1.760698,1.638889,0,1.525852,1.75903,1.636977
1754513741246,Playing,52560,89.10877,89.42427,0,0,1,0.03955397,-0.03776387,1.39946,0.05949547,-0.07143655,1.39978,0.0679914,-0.07143647,1.396687,0.06374343,-0.07143651,1.398234,0.03959345,-0.03779081,1.39946,1.596917,1.806886,1.695814,0,1.5952,1.805044,1.693966
1754513741257,Playing,52561,89.635,89.58232,0,0,1,0.03956031,-0.03777892,1.39946,0.05950822,-0.07147422,1.399779,0.06800416,-0.0714765,1.396686,0.06375619,-0.07147536,1.398233,0.03959978,-0.03780587,1.39946,1.597897,1.807861,1.696852,0,1.596181,1.805911,1.69489
1754513741269,Playing,52562,90.90134,90.57159,0,0,1,0.03955325,-0.0377877,1.399462,0.05951346,-0.07144387,1.399783,0.06800939,-0.07144881,1.39669,0.06376143,-0.07144634,1.398236,0.03959272,-0.03781465,1.399462,1.596794,1.806994,1.695814,0,1.594955,1.805044,1.693966
1754513741280,Playing,52563,89.92931,90.08987,0,0,1,0.03954143,-0.03778081,1.399466,0.05960076,-0.07242707,1.399747,0.0680969,-0.07242241,1.396661,0.06384882,-0.07242474,1.398204,0.0395809,-0.03780776,1.399466,1.633626,1.840581,1.731105,0.01978234,1.631948,1.83856,1.729409
1754513741291,Playing,52564,89.98663,90.01244,0,0,1,0.03952815,-0.03778985,1.399466,0.05957185,-0.07240973,1.399749,0.06806798,-0.07240458,1.396662,0.06381992,-0.07240716,1.398205,0.03956762,-0.0378168,1.399466,1.632428,1.839092,1.729861,0.01978234,1.630749,1.837282,1.727937
1754513741302,Playing,52565,89.31478,89.4892,0,0,1,0.03952822,-0.0378016,1.399466,0.05955955,-0.07242505,1.39975,0.06805565,-0.07242029,1.396662,0.0638076,-0.07242267,1.398206,0.03956769,-0.03782855,1.399467,1.632428,1.838986,1.729748,0,1.630749,1.837069,1.727711
1754513741313,Playing,52566,90.61176,90.33112,0,0,1,0.03954405,-0.03787166,1.399468,0.05853262,-0.07169601,1.399832,0.06703021,-0.0716828,1.396687,0.06278141,-0.0716894,1.398259,0.0395835,-0.0378986,1.399468,1.582761,1.786517,1.678414,0,1.581029,1.784545,1.676431
1754513741324,Playing,52567,87.58284,88.26991,0,0,1,0.0395602,-0.03789153,1.399472,0.05856986,-0.0717548,1.399834,0.06706743,-0.07174377,1.396691,0.06281865,-0.07174928,1.398263,0.03959967,-0.03791849,1.399472,1.584615,1.788269,1.680046,0,1.582885,1.786408,1.678298
1754513741335,Playing,52568,90.93922,90.2719,0,0,1,0.03954732,-0.03796325,1.399479,0.05853219,-0.07198644,1.399836,0.0670297,-0.07197729,1.396691,0.06278095,-0.07198186,1.398264,0.03958679,-0.0379902,1.399479,1.589793,1.79275,1.685047,0,1.588069,1.791003,1.683188
1754513741346,Playing,52569,90.72993,90.61543,0,0,1,0.039545,-0.03801324,1.399482,0.06057173,-0.06932542,1.399824,0.06906685,-0.06932309,1.396788,0.06481929,-0.06932425,1.398306,0.03958446,-0.03804018,1.399482,1.539006,1.76414,1.645919,0,1.537224,1.762142,1.644134
1754513741358,Playing,52570,89.49421,89.77452,0,0,1,0.03952597,-0.03804797,1.399476,0.0605291,-0.06945997,1.399816,0.06902426,-0.06945245,1.396779,0.06477668,-0.06945621,1.398298,0.03956544,-0.03807492,1.399476,1.5418,1.766246,1.648414,0,1.540022,1.764362,1.646394
1754513741369,Playing,52571,90.33211,90.19272,0,0,1,0.03952083,-0.03804975,1.399466,0.06052878,-0.06951346,1.399804,0.06902397,-0.06950106,1.396767,0.06477638,-0.06950726,1.398286,0.0395603,-0.0380767,1.399466,1.543703,1.767908,1.650075,0,1.5418,1.765914,1.648176
1754513741380,Playing,52572,89.42377,89.616,0,0,1,0.03954777,-0.03804499,1.399447,0.06068959,-0.06676326,1.399862,0.06918491,-0.06675494,1.396831,0.06493725,-0.0667591,1.398346,0.03958724,-0.03807193,1.399447,1.454949,1.691538,1.567854,0,1.453065,1.689802,1.566106
1754513741392,Playing,52573,89.73261,89.70346,0,0,1,0.03951995,-0.03802992,1.399438,0.0606321,-0.06672407,1.399855,0.06912738,-0.06671567,1.396823,0.06487975,-0.06671987,1.398339,0.03955942,-0.03805687,1.399439,1.453604,1.690265,1.566106,0.01978234,1.451583,1.688296,1.564355
1754513741402,Playing,52574,90.16793,90.05181,0,0,1,0.03947846,-0.03801921,1.399443,0.06053156,-0.06665021,1.399865,0.06902671,-0.06664438,1.396829,0.06477913,-0.06664729,1.398347,0.03951792,-0.03804614,1.399443,1.449964,1.686672,1.562728,0,1.448073,1.684815,1.560974
1754513741413,Playing,52575,85.33673,86.5155,0,0,1,0.03946186,-0.03803036,1.399451,0.064289,-0.06898335,1.399598,0.07278088,-0.06898045,1.396768,0.06853494,-0.0689819,1.398183,0.03950133,-0.0380573,1.399451,1.61955,1.863827,1.736974,0.01978234,1.617615,1.861935,1.73517
1754513741424,Playing,52576,94.15733,92.24687,0,0,1,0.03941712,-0.03802143,1.39947,0.06415942,-0.06891119,1.399623,0.07265122,-0.06890257,1.396789,0.06840532,-0.06890687,1.398206,0.03945659,-0.03804838,1.39947,1.615315,1.859306,1.732574,0,1.613497,1.85741,1.730766
1754513741436,Playing,52577,90.85746,91.20482,0,0,1,0.0394089,-0.0379891,1.399482,0.06495956,-0.06832617,1.399606,0.07345093,-0.06832285,1.396815,0.06920524,-0.06832451,1.398211,0.03944837,-0.03801605,1.399482,1.618825,1.868546,1.739113,0,1.616889,1.866764,1.737425
1754513741447,Playing,52578,89.34305,89.80849,0,0,1,0.03935833,-0.03793804,1.399492,0.06481076,-0.06812786,1.399627,0.07330207,-0.06811668,1.39683,0.06905641,-0.06812227,1.398229,0.03939781,-0.037965,1.399492,1.611555,1.86141,1.731897,0.01978234,1.609854,1.859622,1.729975
