unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754512483438,Target Loaded,35561,89.18061,89.48626,0,0,1,0.05824398,-0.001851454,1.543796,0.06071276,-0.03655867,1.544268,0.06926164,-0.03633935,1.541335,0.0649872,-0.03644901,1.542801,0.05818204,-0.001571342,1.543789,1.289526,1.34523,1.307759,0,1.300256,1.355808,1.318489
1754512483438,Target Set,35561,89.18061,89.48626,0,0,1,0.05824398,-0.001851454,1.543796,0.06071276,-0.03655867,1.544268,0.06926164,-0.03633935,1.541335,0.0649872,-0.03644901,1.542801,0.05818204,-0.001571342,1.543789,1.289526,1.34523,1.307759,0,1.300256,1.355808,1.318489
1754512483438,Playing,35561,89.18061,89.48626,0,0,1,0.05831695,-0.001956679,1.543781,0.06091497,-0.03692006,1.544251,0.06946344,-0.03669877,1.541317,0.06518921,-0.03680941,1.542784,0.05837901,-0.001932986,1.543781,1.299503,1.355952,1.318044,0,1.299955,1.355663,1.318489
1754512483448,Playing,35562,86.83193,87.49551,0,0,1,0.0582469,-0.002020307,1.543773,0.0608449,-0.03698366,1.544243,0.06939342,-0.03676242,1.541309,0.06511916,-0.03687304,1.542776,0.05830897,-0.001996629,1.543773,1.299503,1.355952,1.318044,0,1.300256,1.355952,1.318489
1754512483459,Playing,35563,88.70438,88.40217,0,0,1,0.0582663,-0.002084605,1.54375,0.05436048,-0.03714496,1.544416,0.06292499,-0.03691126,1.54113,0.05864273,-0.03702811,1.542773,0.05832837,-0.00206092,1.54375,1.307759,1.305813,1.29679,0,1.308806,1.306262,1.297544
1754512483471,Playing,35564,91.82568,90.9698,0,0,1,0.05830612,-0.002218612,1.543724,0.05440025,-0.03727902,1.54439,0.06296476,-0.03704526,1.541105,0.05868251,-0.03716214,1.542747,0.05836816,-0.002194941,1.543724,1.307759,1.305513,1.296639,0,1.309105,1.305962,1.297393
1754512483482,Playing,35565,92.13193,91.8414,0,0,1,0.05837919,-0.002339363,1.543699,0.05447334,-0.03739974,1.544365,0.06303784,-0.03716601,1.54108,0.05875559,-0.03728288,1.542723,0.05844126,-0.0023157,1.543699,1.307759,1.305813,1.296639,0,1.309105,1.306262,1.297393
1754512483492,Playing,35566,90.66676,90.96042,0,0,1,0.0584513,-0.002371244,1.543682,0.05454548,-0.03743162,1.544348,0.06310996,-0.0371979,1.541063,0.05882772,-0.03731476,1.542706,0.05851333,-0.002347551,1.543682,1.307759,1.305513,1.296639,0,1.309105,1.306262,1.297695
1754512483504,Playing,35567,90.66758,90.74079,0,0,1,0.05836222,-0.002368331,1.543671,0.05445641,-0.0374287,1.544337,0.06302091,-0.03719497,1.541052,0.05873866,-0.03731184,1.542694,0.05842429,-0.00234466,1.543671,1.307759,1.305513,1.296941,0,1.308806,1.306262,1.297695
1754512483515,Playing,35568,88.11582,88.77206,0,0,1,0.05844642,-0.002315581,1.543653,0.05454057,-0.03737595,1.544319,0.06310507,-0.03714224,1.541034,0.05882282,-0.03725909,1.542677,0.05850845,-0.002291918,1.543653,1.307909,1.305513,1.296639,0,1.308806,1.306112,1.297393
1754512483526,Playing,35569,91.19844,90.59184,0,0,1,0.05848495,-0.002289683,1.543647,0.05457912,-0.03735007,1.544314,0.06314361,-0.03711633,1.541028,0.05886136,-0.0372332,1.542671,0.05854698,-0.00226599,1.543648,1.307909,1.305813,1.296639,0,1.308806,1.306412,1.297393
1754512483537,Playing,35570,89.42304,89.71524,0,0,1,0.05859181,-0.002286911,1.543641,0.05709715,-0.03757515,1.54423,0.06565517,-0.03734537,1.541075,0.06137616,-0.03746026,1.542652,0.05865387,-0.002263226,1.543641,1.309404,1.328985,1.309255,0,1.310151,1.329427,1.310002
1754512483549,Playing,35571,88.9387,89.13284,0,0,1,0.05865704,-0.002240263,1.543638,0.05716234,-0.03752852,1.544227,0.06572038,-0.03729872,1.541071,0.06144136,-0.03741362,1.542649,0.05871908,-0.00221657,1.543638,1.309105,1.328985,1.309404,0,1.310151,1.329427,1.310002
1754512483559,Playing,35572,90.51494,90.16941,0,0,1,0.05868553,-0.002245381,1.543672,0.05719088,-0.03753366,1.544261,0.06574892,-0.03730386,1.541106,0.0614699,-0.03741876,1.542683,0.05874762,-0.002221696,1.543672,1.309255,1.328691,1.309404,0,1.310002,1.329132,1.309853
