unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754515015615,Target Loaded,42350,90.88583,91.18333,0,0,1,0.02405259,-0.01322079,1.012174,0.01837566,-0.04278353,1.011217,0.02805516,-0.04287653,1.011999,0.02321541,-0.04283003,1.011608,0.009215519,0.03966183,1.010892,1.704447,1.692348,1.675964,3.109987,4.697653,4.791828,4.737062
1754515015615,Target Set,42350,90.88583,91.18333,0,0,1,0.02405259,-0.01322079,1.012174,0.01837566,-0.04278353,1.011217,0.02805516,-0.04287653,1.011999,0.02321541,-0.04283003,1.011608,0.009215519,0.03966183,1.010892,1.704447,1.692348,1.675964,3.109987,4.697653,4.791828,4.737062
1754515015615,Playing,42350,90.88583,91.18333,0,0,1,0.02406225,-0.01336974,1.01241,0.01837566,-0.04278353,1.011217,0.02805516,-0.04287653,1.011999,0.02321541,-0.04283003,1.011608,0.009215519,0.03966183,1.010892,1.696506,1.684002,1.668005,3.117971,4.697653,4.791828,4.737062
1754515015626,Playing,42351,86.51025,87.67851,0,0,1,0.02407756,-0.0134816,1.012619,0.01839089,-0.04289402,1.011428,0.02807045,-0.04298967,1.012208,0.02323067,-0.04294185,1.011818,0.009254515,0.03828982,1.011168,1.695698,1.683885,1.667887,3.048381,4.625502,4.720865,4.665519
1754515015637,Playing,42352,91.10104,90.24541,0,0,1,0.0240903,-0.01361667,1.012829,0.01840365,-0.04302557,1.01164,0.02808319,-0.04312828,1.012416,0.02324342,-0.04307692,1.012028,0.009334981,0.03711602,1.011432,1.695352,1.684002,1.667301,2.990223,4.565444,4.661865,4.605938
1754515015648,Playing,42353,90.5592,90.48074,0,0,1,0.02408789,-0.01373942,1.013,0.01867826,-0.04130334,1.011859,0.02835789,-0.04139923,1.012645,0.02351808,-0.04135128,1.012252,0.009392515,0.0358703,1.011661,1.58967,1.581772,1.562227,2.927503,4.399172,4.500237,4.44162
1754515015659,Playing,42354,84.94823,86.33136,0,0,1,0.02409843,-0.01388483,1.013156,0.01868883,-0.04144694,1.012015,0.0283684,-0.04154652,1.012801,0.02352861,-0.04149673,1.012408,0.009397253,0.03462636,1.011871,1.589424,1.581895,1.561977,2.867511,4.336709,4.439415,4.379896
1754515015671,Playing,42355,94.40223,92.38451,0,0,1,0.02410541,-0.01403271,1.013331,0.01869585,-0.04159133,1.01219,0.02837545,-0.04169789,1.012975,0.02353565,-0.04164461,1.012583,0.009426728,0.03339732,1.012097,1.588931,1.581648,1.561726,2.808119,4.274847,4.379045,4.318651
1754515015681,Playing,42356,91.06042,91.39144,0,0,1,0.02410457,-0.01416928,1.013435,0.01805054,-0.0417864,1.012309,0.02772969,-0.04188204,1.013061,0.02289011,-0.04183422,1.012685,0.009395927,0.03231128,1.012246,1.599243,1.579172,1.565481,2.757118,4.219975,4.320601,4.262
1754515015692,Playing,42357,86.1949,87.49404,0,0,1,0.0240978,-0.01427551,1.013525,0.01804367,-0.04189084,1.012403,0.02772287,-0.04199,1.013147,0.02288327,-0.04194042,1.012775,0.009515882,0.03136311,1.012377,1.598876,1.578924,1.565606,2.709205,4.171384,4.272418,4.213427
1754515015704,Playing,42358,93.43883,91.95263,0,0,1,0.02409427,-0.01435852,1.013597,0.01804024,-0.04197529,1.012472,0.02771935,-0.04207167,1.013222,0.02287979,-0.04202348,1.012847,0.009402335,0.03057484,1.012479,1.598754,1.5788,1.565481,2.672836,4.132185,4.234847,4.174951
1754515015715,Playing,42359,90.23234,90.66241,0,0,1,0.02409771,-0.01443453,1.013639,0.01752479,-0.04522233,1.012432,0.02720372,-0.04529843,1.01316,0.02236426,-0.04526038,1.012796,0.009323284,0.02997882,1.012543,1.780592,1.752342,1.745404,2.646415,4.278144,4.373183,4.317472
1754515015726,Playing,42360,85.81427,87.02631,0,0,1,0.02408782,-0.01449727,1.013653,0.01751502,-0.04528731,1.012447,0.02719389,-0.0453589,1.013173,0.02235445,-0.0453231,1.01281,0.00933814,0.02935851,1.012582,1.780372,1.752118,1.745179,2.615914,4.246762,4.34208,4.286012
1754515015737,Playing,42361,93.69418,92.02721,0,0,1,0.02408011,-0.01454905,1.013642,0.01750726,-0.04534061,1.012435,0.02718617,-0.04540922,1.013162,0.02234671,-0.04537492,1.012799,0.00930874,0.02891457,1.012588,1.780592,1.751895,1.745179,2.59533,4.224892,4.320556,4.264389
1754515015748,Playing,42362,90.66953,91.00894,0,0,1,0.02407171,-0.01458217,1.013611,0.0147194,-0.04104213,1.012592,0.02439728,-0.04111056,1.013173,0.01955834,-0.04107635,1.012883,0.009210065,0.02856745,1.012569,1.587083,1.49933,1.519297,2.580354,3.949031,4.031286,3.981183
1754515015759,Playing,42363,84.58857,86.19366,0,0,1,0.02405207,-0.01458839,1.013583,0.01469977,-0.04104999,1.012565,0.0243776,-0.04111511,1.013145,0.01953869,-0.04108255,1.012855,0.009196997,0.02856643,1.012541,1.587083,1.4992,1.519169,2.58043,3.949528,4.031529,3.98138
1754515015771,Playing,42364,92.56358,90.9711,0,0,1,0.02403119,-0.01456431,1.013557,0.01467887,-0.0410264,1.012539,0.02435672,-0.04109053,1.01312,0.01951779,-0.04105847,1.01283,0.009153694,0.02855746,1.012517,1.587329,1.4992,1.519426,2.579368,3.947891,4.029926,3.979855
1754515015782,Playing,42365,91.54364,91.40051,0,0,1,0.02401344,-0.01452735,1.013517,0.01735032,-0.0424096,1.012395,0.02702916,-0.04247801,1.013123,0.02218974,-0.0424438,1.012759,0.009122476,0.02892701,1.012462,1.621844,1.588562,1.581772,2.597592,4.061631,4.161372,4.102744
1754515015793,Playing,42366,86.28709,87.56544,0,0,1,0.02400629,-0.01448885,1.01343,0.01734316,-0.0423729,1.012309,0.02702206,-0.04243776,1.013034,0.02218261,-0.04240533,1.012672,0.009175941,0.02936791,1.012357,1.621482,1.588315,1.581648,2.618083,4.084373,4.182918,4.12488
1754515015804,Playing,42367,94.11763,92.47958,0,0,1,0.02400605,-0.01445043,1.013305,0.01734288,-0.0423409,1.012184,0.02702188,-0.04239291,1.012909,0.02218238,-0.04236691,1.012547,0.00915949,0.03005526,1.012204,1.622206,1.588192,1.581895,2.653432,4.121793,4.218862,4.161795
1754515015815,Playing,42368,86.43703,87.94767,0,0,1,0.02401032,-0.01439232,1.013176,0.01451436,-0.04586132,1.012016,0.02419238,-0.04590288,1.01259,0.01935337,-0.0458821,1.012303,0.009146199,0.03062329,1.012052,1.859622,1.781142,1.800376,2.681537,4.338199,4.410732,4.366101
1754515015826,Playing,42369,89.70705,89.2672,0,0,1,0.02400914,-0.01432277,1.013034,0.01451315,-0.04579228,1.011875,0.02419122,-0.04583286,1.012447,0.01935218,-0.04581257,1.012161,0.00917545,0.03141223,1.011878,1.859937,1.781361,1.800484,2.720094,4.379314,4.451003,4.406867
1754515015837,Playing,42370,93.23465,92.24279,0,0,1,0.02401339,-0.01423341,1.012881,0.01451749,-0.04570518,1.01172,0.02419543,-0.04574119,1.012296,0.01935646,-0.04572318,1.012008,0.009114295,0.03221618,1.011691,1.860358,1.781581,1.800702,2.760311,4.420801,4.492003,4.448185
1754515015848,Playing,42371,90.8205,91.17607,0,0,1,0.02401479,-0.01415093,1.012719,0.01929703,-0.04901065,1.011325,0.02897708,-0.04907729,1.012162,0.02413706,-0.04904397,1.011743,0.009095773,0.03299814,1.011495,1.991643,1.994392,1.974173,2.798833,4.678265,4.777416,4.720325
1754515015859,Playing,42372,86.23399,87.46951,0,0,1,0.02403225,-0.01408072,1.012549,0.01931457,-0.04893418,1.011153,0.02899453,-0.04901327,1.011993,0.02415455,-0.04897372,1.011573,0.009067923,0.03379547,1.01129,1.99125,1.995079,1.974669,2.839384,4.719827,4.819263,4.762097
1754515015871,Playing,42373,92.11813,90.95598,0,0,1,0.02405089,-0.01400648,1.012364,0.01933315,-0.04885352,1.01097,0.0290131,-0.04894544,1.011807,0.02417313,-0.04889948,1.011389,0.009159356,0.03452493,1.011075,1.991151,1.995668,1.974867,2.874057,4.756705,4.85563,4.798732
