unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754442590074,Target Loaded,10104,88.85809,88.97411,0,0,1,0.02076428,0.02622303,0.9783832,0.02133819,0.03585127,0.9785004,0.03151724,0.03548133,0.9772986,0.02642772,0.0356663,0.9778996,0.01785027,0.01772816,0.9782849,0.5637122,0.8325126,0.6449805,0.5256317,1.079378,1.313135,1.164157
1754442590074,Target Set,10104,88.85809,88.97411,0,0,1,0.02076428,0.02622303,0.9783832,0.02133819,0.03585127,0.9785004,0.03151724,0.03548133,0.9772986,0.02642772,0.0356663,0.9778996,0.01785027,0.01772816,0.9782849,0.5637122,0.8325126,0.6449805,0.5256317,1.079378,1.313135,1.164157
1754442590074,Playing,10104,88.85809,88.97411,0,0,1,0.02079715,0.02628668,0.9783258,0.02133819,0.03585127,0.9785004,0.03151724,0.03548133,0.9772986,0.02642772,0.0356663,0.9778996,0.01785027,0.01772816,0.9782849,0.5598809,0.8285072,0.6407191,0.5297108,1.079378,1.313135,1.164157
1754442590084,Playing,10105,93.12027,92.08372,0,0,1,0.02082196,0.02637163,0.9782717,0.02147643,0.03909931,0.9784113,0.0316552,0.03872116,0.9772091,0.02656582,0.03891023,0.9778102,0.01789118,0.01823168,0.9782344,0.7451985,0.9636774,0.8076981,0.5062904,1.238279,1.446586,1.312688
1754442590095,Playing,10106,77.62589,81.24035,0,0,1,0.02084696,0.02646946,0.9782149,0.02137853,0.03966562,0.9783482,0.03155731,0.0392827,0.9771479,0.02646792,0.03947416,0.977748,0.01777858,0.01888385,0.9781814,0.7720242,0.9795874,0.8296872,0.4784724,1.233528,1.442658,1.308358
1754442590108,Playing,10107,84.38107,83.59589,0,0,1,0.02086735,0.02654466,0.9781445,0.02137872,0.03988473,0.9782768,0.03155749,0.0395013,0.977075,0.0264681,0.03969301,0.9776759,0.01780285,0.01914734,0.9781126,0.7808449,0.9853634,0.8369665,0.4689721,1.230829,1.439942,1.305663
1754442590119,Playing,10108,106.1808,100.5346,0,0,1,0.02090337,0.02657959,0.9780616,0.02123041,0.04015891,0.9781898,0.03140932,0.0397714,0.9769918,0.02631987,0.03996516,0.9775908,0.01762,0.01937433,0.9780302,0.7942618,0.989525,0.845804,0.463094,1.233846,1.4432,1.308956
1754442590130,Playing,10109,86.90286,90.31079,0,0,1,0.02094037,0.02661144,0.9779787,0.02124763,0.04019266,0.9781069,0.03142652,0.03980509,0.9769092,0.02633708,0.03999887,0.9775081,0.01763708,0.01940806,0.9779473,0.7942618,0.9889315,0.8453411,0.4635163,1.233846,1.443336,1.308956
1754442590141,Playing,10110,88.73272,89.12724,0,0,1,0.02099721,0.02663268,0.9778965,0.02128467,0.0404687,0.9780211,0.03146348,0.04007863,0.9768237,0.02637408,0.04027367,0.9774224,0.01766957,0.01968488,0.9778668,0.8093922,0.9999508,0.8588898,0.450674,1.234163,1.443336,1.309105
1754442590153,Playing,10111,92.88155,91.94298,0,0,1,0.02109424,0.02666229,0.9778359,0.02139188,0.04018391,0.9779729,0.0315704,0.03978772,0.9767593,0.02648114,0.03998581,0.9773661,0.01805162,0.02017272,0.9778102,0.7910526,0.9853634,0.8418618,0.4196478,1.186797,1.396898,1.260985
