unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754442487348,Target Loaded,0,0,0,0,0,1,0.01905059,0.03152557,0.9539971,0.03751971,0.04767922,0.953485,0.04769573,0.04726635,0.9529691,0.04260772,0.04747278,0.953227,0.02060167,0.0322317,0.953997,1.471799,1.961742,1.706856,0.1008706,1.374158,1.859727,1.606203
1754442487348,Target Set,0,0,0,0,0,1,0.01905059,0.03152557,0.9539971,0.03751971,0.04767922,0.953485,0.04769573,0.04726635,0.9529691,0.04260772,0.04747278,0.953227,0.02060167,0.0322317,0.953997,1.471799,1.961742,1.706856,0.1008706,1.374158,1.859727,1.606203
1754442487349,Playing,0,0,0,0,0,1,0.01901567,0.03161265,0.954039,0.03592849,0.04833324,0.9535438,0.04610641,0.04794918,0.9530435,0.04101745,0.0481412,0.9532937,0.01900917,0.03161901,0.9540391,1.426287,1.89847,1.651024,0,1.426425,1.898676,1.651261
1754442487360,Playing,883,89.20209,66.90157,0,0,1,0.01897161,0.03163596,0.9539996,0.03588443,0.04835656,0.9535044,0.04606236,0.0479725,0.9530041,0.0409734,0.04816453,0.9532542,0.01896511,0.03164233,0.9539996,1.426562,1.898573,1.651142,0,1.426562,1.898676,1.651142
1754442487372,Playing,884,60.34311,61.98273,0,0,1,0.01899972,0.03161047,0.9540167,0.03591255,0.04833106,0.9535214,0.04609047,0.04794699,0.9530211,0.04100151,0.04813902,0.9532713,0.01899322,0.03161684,0.9540166,1.426562,1.898573,1.651142,0,1.426562,1.898676,1.651261
1754442487382,Playing,885,74.71384,71.53107,0,0,1,0.01899951,0.031592,0.9540126,0.03028478,0.05341019,0.9536856,0.04045889,0.05301812,0.9528704,0.03537184,0.05321416,0.9532781,0.01899301,0.03159838,0.9540126,1.472463,1.82059,1.627145,0,1.472331,1.820697,1.627024
1754442487394,Playing,886,331.774,266.7133,0,0,1,0.01900335,0.03155744,0.9540203,0.03028864,0.05337562,0.9536934,0.04046272,0.05298353,0.9528782,0.03537568,0.05317958,0.9532858,0.01899685,0.03156381,0.9540203,1.472463,1.82059,1.627145,0,1.472331,1.82059,1.627024
1754442487405,Playing,887,86.4364,131.5056,0,0,1,0.01900305,0.03152363,0.9540367,0.03032672,0.05331014,0.9537088,0.04050098,0.05292135,0.9528956,0.03541385,0.05311574,0.9533022,0.01899655,0.03153,0.9540367,1.471932,1.821019,1.627024,0,1.471666,1.820912,1.626904
1754442487416,Playing,888,86.9142,98.06206,0,0,1,0.01899834,0.03148616,0.954054,0.02448961,0.04863643,0.9540474,0.0346637,0.04824176,0.9529279,0.02957666,0.04843909,0.9534877,0.01899184,0.03149254,0.9540539,1.079197,1.37814,1.199099,0,1.078834,1.37814,1.198936
1754442487426,Playing,889,94.29426,95.23621,0,0,1,0.01900941,0.03147151,0.954066,0.0245007,0.04862182,0.9540595,0.03467477,0.04822715,0.95294,0.02958773,0.04842448,0.9534998,0.01900291,0.0314779,0.954066,1.079197,1.37814,1.199099,0,1.078653,1.37814,1.198936
