unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754441022032,Target Loaded,5682,92.70934,91.2476,0,0,1,0.005686838,0.01948536,0.9734287,-0.006915851,0.02409811,0.9734482,0.003281094,0.02387002,0.9725689,-0.001817378,0.02398407,0.9730085,0.0132279,0.02545337,0.9733673,0.7895671,0.2954137,0.5154827,0.5654452,1.18795,0.5921526,0.8895546
1754441022032,Target Set,5682,92.70934,91.2476,0,0,1,0.005686838,0.01948536,0.9734287,-0.006915851,0.02409811,0.9734482,0.003281094,0.02387002,0.9725689,-0.001817378,0.02398407,0.9730085,0.0132279,0.02545337,0.9733673,0.7895671,0.2954137,0.5154827,0.5654452,1.18795,0.5921526,0.8895546
1754441022032,Playing,5682,92.70934,91.2476,0,0,1,0.005703069,0.01945166,0.9734136,-0.006915851,0.02409811,0.9734482,0.003281094,0.02387002,0.9725689,-0.001817378,0.02398407,0.9730085,0.0132279,0.02545337,0.9733673,0.7910526,0.2973941,0.5169988,0.5657911,1.18795,0.5921526,0.8895546
1754441022043,Playing,5683,87.79863,88.66087,0,0,1,0.005729332,0.01942209,0.9734002,-0.006828234,0.02380192,0.9734368,0.003368631,0.02357282,0.9725569,-0.001729801,0.02368737,0.9729968,0.01331568,0.02515473,0.9733551,0.782347,0.2818553,0.5059038,0.5598809,1.18795,0.5921526,0.8897746
1754441022054,Playing,5684,85.36939,86.19226,0,0,1,0.005754682,0.01940668,0.9733824,-0.006547635,0.02320905,0.9734181,0.003648978,0.02298127,0.9725481,-0.001449329,0.02309516,0.9729831,0.0133997,0.02456739,0.9733399,0.7576976,0.2446942,0.4764233,0.5428462,1.176363,0.5808088,0.8780415
1754441022065,Playing,5685,87.0845,86.86143,0,0,1,0.005772739,0.01939061,0.97337,-0.006621489,0.02296429,0.9734055,0.003575269,0.0227407,0.9725363,-0.00152311,0.02285249,0.9729709,0.01332531,0.02433046,0.9733293,0.7592455,0.2373883,0.4756011,0.5308178,1.176363,0.5808088,0.8782644
1754441022076,Playing,5686,96.91895,94.40457,0,0,1,0.005784497,0.01938504,0.9733717,-0.006922854,0.02294313,0.9734033,0.003274251,0.02272259,0.9725373,-0.001824302,0.02283286,0.9729704,0.01302356,0.02431524,0.9733334,0.7763211,0.2462884,0.4917827,0.5151029,1.176363,0.5808088,0.8780415
1754441022087,Playing,5687,97.08266,96.41314,0,0,1,0.005783182,0.01938891,0.9733618,-0.006993894,0.02211962,0.9733948,0.003203318,0.02190167,0.9725301,-0.001895288,0.02201064,0.9729624,0.01295307,0.02413219,0.9733249,0.7689767,0.2121421,0.4780633,0.5059038,1.179851,0.5881739,0.8824874
1754441022098,Playing,5688,82.49259,85.97273,0,0,1,0.005778752,0.01939598,0.9733527,-0.007035488,0.0220719,0.9733834,0.003161684,0.0218493,0.972523,-0.001936902,0.0219606,0.9729532,0.0128513,0.02407134,0.9733168,0.7702479,0.2112177,0.4788812,0.4988932,1.176197,0.5845029,0.8789325
1754441022110,Playing,5689,96.85981,94.13804,0,0,1,0.005782835,0.01941497,0.973345,-0.007334393,0.02203133,0.9733742,0.002863068,0.02181219,0.9725122,-0.002235662,0.02192176,0.9729432,0.01262542,0.0240582,0.9733108,0.7868362,0.2229358,0.4945601,0.4861804,1.18068,0.5891711,0.8835954
1754441022120,Playing,5690,89.86098,90.93025,0,0,1,0.005796522,0.01943391,0.9733279,-0.007520467,0.02213859,0.9733542,0.002677191,0.02191992,0.9724942,-0.002421638,0.02202925,0.9729242,0.01243925,0.02416651,0.9732946,0.7996635,0.2349025,0.5074486,0.4801054,1.180515,0.5891711,0.8835954
1754441022132,Playing,5691,85.78094,87.06827,0,0,1,0.005802188,0.01945224,0.9732978,-0.01004708,0.0222483,0.9733623,0.0001539737,0.02202991,0.9723776,-0.004946552,0.0221391,0.97287,0.01225465,0.0242263,0.9732656,0.9470872,0.3658403,0.651921,0.4722982,1.317598,0.7236168,1.019716
1754441022143,Playing,5692,92.1209,90.85774,0,0,1,0.005805742,0.01945672,0.9732602,-0.01020709,0.02245599,0.9733209,-5.848706E-06,0.02223814,0.972339,-0.005106471,0.02234707,0.9728299,0.01207634,0.0244254,0.9732282,0.9587917,0.3800071,0.6649964,0.4710537,1.316558,0.7225344,1.018564
