unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754440973586,Target Loaded,0,0,0,0,0,1,0.01311667,0.01529346,0.9741759,0.01261272,0.009093324,0.9735852,0.02280361,0.008792792,0.9739614,0.01770816,0.008943059,0.9737733,0.01076687,-0.00725163,0.9739136,0.365305,0.6858553,0.4614008,1.332955,0.9675278,1.179685,1.036465
1754440973586,Target Set,0,0,0,0,0,1,0.01311667,0.01529346,0.9741759,0.01261272,0.009093324,0.9735852,0.02280361,0.008792792,0.9739614,0.01770816,0.008943059,0.9737733,0.01076687,-0.00725163,0.9739136,0.365305,0.6858553,0.4614008,1.332955,0.9675278,1.179685,1.036465
1754440973594,Playing,0,0,0,0,0,1,0.01315825,0.01531282,0.9741514,0.01265423,0.00718962,0.9735522,0.02284504,0.006885795,0.9739279,0.01774964,0.007037708,0.9737401,0.01086811,-0.006963201,0.9739007,0.4780633,0.7551107,0.556375,1.316855,0.8393012,1.077018,0.9177057
1754440973617,Playing,1340,78.67697,59.00773,0,0,1,0.01325162,0.01536742,0.9741316,0.01311276,0.00791575,0.9735378,0.02330362,0.007608661,0.97391,0.01820819,0.007762206,0.9737239,0.0113219,-0.00623622,0.9738964,0.4379019,0.7465102,0.5341251,1.275642,0.8393012,1.077018,0.917919
1754440973660,Playing,1341,23.01549,32.01355,0,0,1,0.01332491,0.01537009,0.9740316,0.01645828,0.004136402,0.9733037,0.02665136,0.003817882,0.9738289,0.02155482,0.003977142,0.9735663,0.01185774,-0.006162166,0.9737987,0.6858553,1.03722,0.8268523,1.269491,0.6641131,1.049412,0.8254311
1754440973673,Playing,1342,21.77468,24.3344,0,0,1,0.01339534,0.01541255,0.974011,0.01705627,0.004318662,0.9732829,0.02724938,0.003992809,0.9738026,0.02215283,0.004155735,0.9735427,0.01244852,-0.005976493,0.9737818,0.6869956,1.055918,0.839068,1.259432,0.6641131,1.049598,0.8254311
1754440973684,Playing,1343,62.4208,52.8992,0,0,1,0.01338883,0.01541745,0.9740089,0.01699041,0.004336208,0.9732811,0.02718356,0.004011631,0.9738015,0.02208698,0.00417392,0.9735413,0.01238392,-0.005959515,0.9737799,0.6852845,1.052763,0.8362648,1.258655,0.6641131,1.049598,0.8254311
1754440973695,Playing,1344,146.3101,122.9573,0,0,1,0.01337557,0.01540423,0.9740061,0.01630822,0.0007899292,0.9732468,0.0265009,0.0004656371,0.9737495,0.02140456,0.0006277831,0.9734981,0.01218029,-0.005930643,0.9737778,0.8769265,1.16969,0.989525,1.256943,0.4643598,0.922597,0.6661724
1754440973706,Playing,1345,94.49741,101.6124,0,0,1,0.01336644,0.01539386,0.9739968,0.01600813,0.0006460529,0.9732364,0.02620071,0.0003234306,0.9737419,0.02110442,0.0004847418,0.9734892,0.01188119,-0.006075297,0.9737652,0.8813781,1.164493,0.9879416,1.265786,0.4643598,0.9228091,0.6661724
1754440973716,Playing,1346,92.20414,94.55621,0,0,1,0.01334304,0.01538039,0.9739842,0.01588853,0.0004379023,0.9732212,0.026081,0.0001123575,0.9737276,0.02098477,0.0002751299,0.9734744,0.0117597,-0.00628241,0.9737483,0.8915322,1.169523,0.9958329,1.277482,0.4643598,0.922597,0.6661724
1754440973727,Playing,1347,88.66821,90.14021,0,0,1,0.01330652,0.01536917,0.9739639,0.01505919,-0.004584182,0.9731335,0.02525082,-0.004918379,0.9736092,0.02015501,-0.00475128,0.9733714,0.01165877,-0.006377883,0.9737261,1.178192,1.384939,1.250388,1.282832,0.2264194,0.804056,0.5089886
1754440973738,Playing,1348,94.20631,93.18979,0,0,1,0.0132304,0.01536881,0.9739071,0.0151993,-0.004959328,0.9730688,0.02539071,-0.005304174,0.973542,0.02029501,-0.005131751,0.9733053,0.01179719,-0.006749767,0.9736615,1.201545,1.410976,1.275796,1.304013,0.2272819,0.804056,0.509757
1754440973749,Playing,1349,94.84516,94.43132,0,0,1,0.01315775,0.01536809,0.9738463,0.01515672,-0.005159946,0.9730039,0.02534801,-0.005508174,0.9734765,0.02025237,-0.00533406,0.9732402,0.01175551,-0.006952165,0.9735962,1.213537,1.422303,1.287704,1.315666,0.2264194,0.8042993,0.5093729
1754440973760,Playing,1350,93.25401,93.54833,0,0,1,0.01307672,0.01536276,0.9737882,0.01510113,-0.005211513,0.9729448,0.02529243,-0.005560411,0.973417,0.02019678,-0.005385962,0.9731809,0.01169984,-0.007003555,0.9735371,1.216436,1.425601,1.290891,1.318489,0.2264194,0.8042993,0.509757
1754440973771,Playing,1351,82.10585,84.96647,0,0,1,0.01302063,0.01536225,0.9737514,0.01493543,-0.005220672,0.9729069,0.02512653,-0.005574053,0.9733826,0.02003098,-0.005397363,0.9731448,0.01149517,-0.007094423,0.9734981,1.216597,1.422991,1.289526,1.324413,0.2306999,0.8072135,0.5124369
1754440973781,Playing,1352,84.87235,84.89588,0,0,1,0.01298307,0.01537895,0.9737351,0.01477087,-0.005162751,0.9728928,0.02496224,-0.005506179,0.9733676,0.01986655,-0.005334465,0.9731302,0.01137039,-0.006956598,0.9734843,1.213537,1.416789,1.284509,1.317598,0.2272819,0.8045425,0.5093729
1754440973792,Playing,1353,109.8286,103.5954,0,0,1,0.01291057,0.01540979,0.973698,0.01713002,-0.003979657,0.9727906,0.02732389,-0.00432153,0.9734027,0.02222696,-0.004150594,0.9730966,0.0111842,-0.006822763,0.9734494,1.168016,1.437766,1.275028,1.311942,0.3881583,0.9610341,0.6688108
1754440973803,Playing,1354,93.90201,96.32535,0,0,1,0.01284514,0.01545089,0.9736567,0.01705299,-0.003712805,0.9727537,0.02724706,-0.004048428,0.9733661,0.02215002,-0.003880616,0.9730599,0.01110888,-0.00655934,0.9734129,1.154705,1.426425,1.262691,1.299202,0.3886621,0.9610341,0.6691033
