unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754441119611,Target Loaded,14432,87.6747,88.33836,0,0,1,0.01718359,0.0216737,0.9932233,0.006536452,0.02462933,0.9932556,0.01672895,0.02428962,0.9922069,0.0116327,0.02445948,0.9927312,0.02839542,0.007287803,0.9929491,0.6370438,0.1545051,0.3577275,1.052019,1.609368,1.189761,1.384374
1754441119611,Target Set,14432,87.6747,88.33836,0,0,1,0.01718359,0.0216737,0.9932233,0.006536452,0.02462933,0.9932556,0.01672895,0.02428962,0.9922069,0.0116327,0.02445948,0.9927312,0.02839542,0.007287803,0.9929491,0.6370438,0.1545051,0.3577275,1.052019,1.609368,1.189761,1.384374
1754441119611,Playing,14432,87.6747,88.33836,0,0,1,0.01714513,0.02172416,0.9931166,0.006536452,0.02462933,0.9932556,0.01672895,0.02428962,0.9922069,0.0116327,0.02445948,0.9927312,0.02839542,0.007287803,0.9929491,0.6342734,0.1506579,0.354982,1.055732,1.609368,1.189761,1.384374
1754441119621,Playing,14433,94.01588,92.5965,0,0,1,0.01711564,0.02176719,0.9930266,0.00475288,0.02527124,0.9931917,0.01494769,0.02493206,0.9920647,0.009850286,0.02510165,0.9926282,0.02811549,0.007883271,0.9928697,0.7409853,0.2220564,0.4609765,1.021633,1.679813,1.243168,1.448209
1754441119632,Playing,14434,79.41298,82.70886,0,0,1,0.01707872,0.02183188,0.9929567,0.004500281,0.02581971,0.9931174,0.01469541,0.02548214,0.9919926,0.009597845,0.02565093,0.992555,0.02786665,0.00843655,0.9928088,0.7607903,0.2517883,0.4845679,0.9920924,1.679929,1.243168,1.448209
1754441119644,Playing,14435,89.63465,87.90321,0,0,1,0.0170242,0.0219123,0.9928892,0.004147137,0.02635902,0.9930441,0.01434261,0.02602174,0.9919225,0.009244873,0.02619038,0.9924833,0.02751495,0.008977568,0.9927505,0.7855918,0.2839303,0.5120549,0.9606267,1.679929,1.243168,1.448344
1754441119655,Playing,14436,103.8012,99.82671,0,0,1,0.01696871,0.02200195,0.9928272,0.005215157,0.02693739,0.9929453,0.01540907,0.02660215,0.991909,0.01031211,0.02676977,0.9924271,0.02708567,0.009609452,0.9926993,0.7354187,0.2818553,0.4722982,0.923021,1.609611,1.19009,1.384798
1754441119666,Playing,14437,90.40937,92.7637,0,0,1,0.01690309,0.02206762,0.9927568,0.004823476,0.02788183,0.9928663,0.01501772,0.02754568,0.9918337,0.009920597,0.02771375,0.99235,0.02669405,0.01055367,0.9926426,0.7732905,0.3351346,0.518133,0.872228,1.609733,1.190254,1.384798
1754441119678,Playing,14438,87.05721,88.48383,0,0,1,0.01683888,0.02214159,0.9926852,0.004355695,0.02866892,0.9927853,0.01455037,0.02833265,0.991757,0.009453033,0.02850078,0.9922712,0.02622741,0.01134194,0.9925829,0.812529,0.3820612,0.5623221,0.8256681,1.609854,1.190254,1.384798
1754441119689,Playing,14439,87.97164,88.09969,0,0,1,0.0167746,0.02221773,0.9926254,0.003993081,0.0296087,0.9927168,0.01418818,0.02927551,0.9916898,0.009090632,0.0294421,0.9922034,0.0259011,0.0122563,0.9925341,0.8517979,0.4347627,0.6084505,0.7795909,1.612526,1.193046,1.387339
