unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754441218560,Target Loaded,23293,88.74217,89.04871,0,0,1,0.04186917,0.007168814,1.02437,0.04496201,0.008909081,1.023724,0.05515756,0.008717189,1.024185,0.05005979,0.008813135,1.023954,0.04170291,0.007140842,1.024356,0.2007689,0.7470343,0.4677188,0,0.2074791,0.7566639,0.4764233
1754441218560,Target Set,23293,88.74217,89.04871,0,0,1,0.04186917,0.007168814,1.02437,0.04496201,0.008909081,1.023724,0.05515756,0.008717189,1.024185,0.05005979,0.008813135,1.023954,0.04170291,0.007140842,1.024356,0.2007689,0.7470343,0.4677188,0,0.2074791,0.7566639,0.4764233
1754441218560,Playing,23293,88.74217,89.04871,0,0,1,0.0418219,0.00715349,1.024351,0.04508608,0.008924266,1.023718,0.05528169,0.008732058,1.024178,0.05018388,0.008828162,1.023948,0.041827,0.007156142,1.024351,0.2093567,0.7569224,0.4764233,0,0.2093567,0.7566639,0.4764233
1754441218572,Playing,23294,90.26575,89.96149,0,0,1,0.04179379,0.007162832,1.024344,0.0450579,0.008933603,1.023711,0.05525356,0.008741409,1.024171,0.05015573,0.008837506,1.023941,0.04179887,0.007165493,1.024344,0.2074791,0.7566639,0.477244,0,0.2074791,0.7566639,0.4764233
1754441218583,Playing,23295,82.97379,84.72071,0,0,1,0.04176715,0.007175157,1.024342,0.04503129,0.008945931,1.02371,0.05522692,0.008753724,1.024169,0.05012911,0.008849828,1.02394,0.04177224,0.007177808,1.024342,0.2093567,0.7566639,0.4764233,0,0.2074791,0.7561465,0.4764233
1754441218594,Playing,23296,81.46175,82.27649,0,0,1,0.04174192,0.00719058,1.02435,0.05024233,0.008860246,1.023518,0.06044422,0.008668451,1.024261,0.05534328,0.008764349,1.023889,0.04174702,0.007193231,1.024349,0.4857778,1.047171,0.7654059,0,0.4853748,1.046611,0.7648944
1754441218604,Playing,23297,105.8694,99.97118,0,0,1,0.04170512,0.007201795,1.02436,0.05020549,0.008871467,1.023528,0.06040742,0.008679675,1.024271,0.05530645,0.008775571,1.023899,0.04171021,0.007204453,1.02436,0.4857778,1.046798,0.7648944,0,0.4857778,1.046611,0.7648944
1754441218615,Playing,23298,83.06683,87.29292,0,0,1,0.04167269,0.007202953,1.024375,0.05021788,0.008901545,1.023541,0.06041984,0.008710789,1.024287,0.05531886,0.008806167,1.023914,0.04167779,0.007205606,1.024375,0.4889896,1.049412,0.7684676,0,0.4881886,1.049038,0.7679582
1754441218626,Playing,23299,100.2205,96.98859,0,0,1,0.04163291,0.007197349,1.024392,0.04300274,0.01132984,1.023819,0.05319689,0.01114233,1.024174,0.04809982,0.01123608,1.023996,0.04163799,0.007200002,1.024392,0.2454926,0.6827098,0.4261257,0,0.2438933,0.6821364,0.4261257
1754441218637,Playing,23300,96.0292,96.26904,0,0,1,0.04159234,0.0071806,1.024402,0.04296096,0.01131288,1.023829,0.05315507,0.01112333,1.024184,0.04805802,0.0112181,1.024007,0.04159744,0.007183252,1.024402,0.2422834,0.6827098,0.4261257,0,0.2422834,0.6821364,0.4252063
