unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754441169931,Target Loaded,18927,87.88196,88.68287,0,0,1,0.0349615,0.008133517,1.027669,0.02971892,-0.002626723,1.027261,0.03991074,-0.002818534,1.027264,0.03481483,-0.002722628,1.027262,0.03507939,0.007923782,1.027688,0.6667597,0.6696879,0.6055493,0,0.659382,0.6564078,0.5938025
1754441169931,Target Set,18927,87.88196,88.68287,0,0,1,0.0349615,0.008133517,1.027669,0.02971892,-0.002626723,1.027261,0.03991074,-0.002818534,1.027264,0.03481483,-0.002722628,1.027262,0.03507939,0.007923782,1.027688,0.6667597,0.6696879,0.6055493,0,0.659382,0.6564078,0.5938025
1754441169931,Playing,18927,87.88196,88.68287,0,0,1,0.03488373,0.008155735,1.027693,0.02952717,-0.00239158,1.027267,0.03971896,-0.002584592,1.027272,0.03462307,-0.002488086,1.02727,0.0348888,0.008158393,1.027693,0.6587883,0.6570037,0.5938025,0,0.6587883,0.6564078,0.5931431
1754441169943,Playing,18928,87.8588,88.06481,0,0,1,0.03480213,0.008134399,1.027712,0.02944556,-0.002412914,1.027286,0.03963736,-0.002605927,1.027292,0.03454146,-0.002509421,1.027289,0.03480722,0.008137054,1.027712,0.6587883,0.6570037,0.5931431,0,0.659382,0.6570037,0.5938025
1754441169954,Playing,18929,88.28931,88.23318,0,0,1,0.03470919,0.008109444,1.027727,0.02935261,-0.002437884,1.027301,0.03954443,-0.002630897,1.027307,0.03444852,-0.00253439,1.027304,0.03471428,0.008112088,1.027727,0.6587883,0.6570037,0.5938025,0,0.6587883,0.6564078,0.5931431
1754441169965,Playing,18930,80.90288,82.73546,0,0,1,0.03462043,0.008072806,1.027717,0.03555177,0.005487964,1.027159,0.04574556,0.005291119,1.027497,0.04064867,0.005389541,1.027328,0.03462552,0.008075459,1.027717,0.1545051,0.6385778,0.3679734,0,0.1545051,0.6385778,0.3679734
1754441169975,Playing,18931,106.8799,100.8438,0,0,1,0.03452719,0.008058833,1.027706,0.03551063,0.005492702,1.027147,0.04570447,0.005298835,1.027488,0.04060755,0.005395769,1.027317,0.03453228,0.008061487,1.027706,0.1519511,0.6413296,0.3700944,0,0.1545051,0.6413296,0.3700944
1754441169987,Playing,18932,89.20925,92.11787,0,0,1,0.03442316,0.008042163,1.027711,0.03778483,0.005539372,1.02707,0.04798059,0.005345185,1.027539,0.04288271,0.005442278,1.027305,0.03442828,0.008044822,1.027711,0.234068,0.7697397,0.4933717,0,0.234068,0.7697397,0.4933717
1754441169998,Playing,18933,86.92175,88.22078,0,0,1,0.0343289,0.008031756,1.027714,0.03770837,0.005512116,1.027073,0.04790428,0.005323224,1.027543,0.04280633,0.00541767,1.027308,0.034334,0.008034412,1.027714,0.235734,0.7707559,0.4941643,0,0.235734,0.7707559,0.4949555
1754441170009,Playing,18934,89.99037,89.54797,0,0,1,0.03423801,0.008026442,1.027722,0.03759963,0.005523649,1.027081,0.0477954,0.005329465,1.027551,0.04269752,0.005426557,1.027316,0.03424309,0.008029093,1.027722,0.234068,0.7694854,0.4925778,0,0.234068,0.7694854,0.4925778
1754441170020,Playing,18935,94.01147,92.89559,0,0,1,0.0341576,0.008017039,1.027738,0.03751923,0.005514245,1.027098,0.047715,0.005320059,1.027567,0.04261712,0.005417152,1.027333,0.03416269,0.008019698,1.027738,0.234068,0.7697397,0.4941643,0,0.234068,0.7697397,0.4933717
1754441170031,Playing,18936,88.93474,89.92495,0,0,1,0.03410178,0.008003509,1.02775,0.03748269,0.005567379,1.02711,0.04767848,0.00537244,1.02758,0.04258059,0.005469909,1.027345,0.03410687,0.008006163,1.02775,0.234068,0.7702479,0.4933717,0,0.23239,0.7697397,0.4925778
1754441170043,Playing,18937,90.41755,90.2944,0,0,1,0.03405723,0.00799478,1.027745,0.03743513,0.005491686,1.027104,0.04763089,0.005297494,1.027574,0.04253301,0.00539459,1.027339,0.03406234,0.007997436,1.027745,0.234068,0.7707559,0.4949555,0,0.235734,0.7702479,0.4941643
1754441170054,Playing,18938,85.56442,86.74692,0,0,1,0.03403044,0.008007221,1.027728,0.03734706,0.005509842,1.027089,0.04754278,0.005315671,1.027556,0.04244492,0.005412756,1.027322,0.03403554,0.008009878,1.027728,0.23239,0.7674484,0.4913847,0,0.23239,0.7669383,0.4913847
1754441170065,Playing,18939,93.32537,91.68076,0,0,1,0.03399582,0.008030288,1.027708,0.03731244,0.005532906,1.027069,0.04750815,0.005338741,1.027536,0.0424103,0.005435823,1.027303,0.03400092,0.008032944,1.027708,0.23239,0.7674484,0.4905876,0,0.2306999,0.7669383,0.4905876
1754441170076,Playing,18940,88.14223,89.02686,0,0,1,0.03395544,0.008064236,1.02768,0.03727204,0.005566858,1.027041,0.04746775,0.005372682,1.027508,0.04236989,0.00546977,1.027275,0.03396052,0.008066891,1.02768,0.2306999,0.7674484,0.4905876,0,0.2306999,0.7674484,0.4905876
1754441170087,Playing,18941,88.18497,88.39545,0,0,1,0.03392294,0.008075332,1.027654,0.03723951,0.005577966,1.027015,0.04743527,0.00538379,1.027483,0.04233739,0.005480878,1.027249,0.03392803,0.008077988,1.027654,0.23239,0.7669383,0.4913847,0,0.2306999,0.7669383,0.4913847
