unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754441072643,Target Loaded,10217,91.86785,91.62846,0,0,1,0.03236628,0.0151483,1.015301,0.01670838,0.01175202,1.01516,0.02690593,0.01156056,1.014612,0.02180715,0.01165629,1.014886,0.03217831,0.01493535,1.015314,0.90309,0.3663747,0.6265134,0,0.8904341,0.3516591,0.6129363
1754441072644,Target Set,10217,91.86785,91.62846,0,0,1,0.03236628,0.0151483,1.015301,0.01670838,0.01175202,1.01516,0.02690593,0.01156056,1.014612,0.02180715,0.01165629,1.014886,0.03217831,0.01493535,1.015314,0.90309,0.3663747,0.6265134,0,0.8904341,0.3516591,0.6129363
1754441072644,Playing,10217,91.86785,91.62846,0,0,1,0.03232155,0.01509773,1.015306,0.01685684,0.01191628,1.015155,0.02705433,0.01172522,1.014606,0.02195559,0.01182075,1.014881,0.03232665,0.01510038,1.015307,0.8899944,0.3516591,0.6122975,0,0.8904341,0.3516591,0.6122975
1754441072654,Playing,10218,84.71489,86.44328,0,0,1,0.03226985,0.01501696,1.015315,0.02204543,0.01338537,1.015067,0.0322386,0.01319286,1.0148,0.02714201,0.01328911,1.014934,0.03227495,0.01501961,1.015315,0.5831623,0.1027921,0.3045456,0,0.583833,0.1027921,0.3051875
1754441072665,Playing,10219,78.76125,80.68176,0,0,1,0.03220936,0.01494785,1.015317,0.02192688,0.01325801,1.01507,0.03212009,0.01306568,1.0148,0.02702349,0.01316185,1.014935,0.03221446,0.0149505,1.015316,0.5875081,0.1065312,0.3077414,0,0.5875081,0.1065312,0.3090104
1754441072677,Playing,10220,96.37347,92.45054,0,0,1,0.03213919,0.01492436,1.015317,0.02191476,0.01329276,1.01507,0.03210795,0.01310026,1.014802,0.02701135,0.01319651,1.014936,0.03214428,0.01492702,1.015317,0.5831623,0.1027921,0.3045456,0,0.583833,0.1027921,0.3051875
1754441072688,Playing,10221,54.68067,64.12314,0,0,1,0.03207231,0.01489272,1.015321,0.02184786,0.01326113,1.015074,0.03204105,0.01306862,1.014806,0.02694445,0.01316487,1.01494,0.03207739,0.01489538,1.015321,0.5831623,0.1027921,0.3045456,0,0.583833,0.1027921,0.3051875
1754441072699,Playing,10222,229.2526,187.9702,0,0,1,0.03201266,0.01485709,1.01532,0.01803552,0.007048443,1.015115,0.02823148,0.006859155,1.014651,0.0231335,0.006953799,1.014883,0.03201777,0.01485974,1.01532,0.9026566,0.4981082,0.6696879,0,0.90309,0.4988932,0.6702721
1754441072709,Playing,10223,93.06221,116.7892,0,0,1,0.03195306,0.01482383,1.015334,0.01797592,0.007015178,1.015129,0.02817186,0.006825892,1.014665,0.02307389,0.006920535,1.014897,0.03195815,0.01482649,1.015334,0.9026566,0.4988932,0.6696879,0,0.9026566,0.4981082,0.6696879
1754441072721,Playing,10224,93.6619,99.44373,0,0,1,0.03190954,0.01483151,1.015366,0.01793952,0.007415588,1.015164,0.02813545,0.007226123,1.014699,0.02303748,0.007320855,1.014931,0.03191463,0.01483416,1.015366,0.8917516,0.4780633,0.6549156,0,0.8921905,0.4788812,0.6552143
1754441072732,Playing,10225,77.23798,82.78941,0,0,1,0.03185358,0.01487424,1.0154,0.01788357,0.007458326,1.015198,0.02807949,0.007268859,1.014734,0.02298153,0.007363593,1.014966,0.03185867,0.0148769,1.0154,0.8913127,0.4780633,0.6546168,0,0.8917516,0.4780633,0.6552143
1754441072743,Playing,10226,96.21397,92.85783,0,0,1,0.03181188,0.01497789,1.015461,0.01784185,0.007561968,1.015259,0.0280378,0.007372499,1.014795,0.02293983,0.007467234,1.015027,0.03181697,0.01498054,1.015461,0.8915322,0.4780633,0.6546168,0,0.8919711,0.4780633,0.6552143
1754441072754,Playing,10227,101.0254,98.98352,0,0,1,0.03175558,0.01505235,1.015499,0.01778555,0.00763643,1.015297,0.0279815,0.007446957,1.014833,0.02288353,0.007541694,1.015065,0.03176067,0.015055,1.015499,0.8915322,0.4780633,0.6546168,0,0.8915322,0.4780633,0.6552143
1754441072766,Playing,10228,90.41673,92.55843,0,0,1,0.03171557,0.01504434,1.015496,0.01774552,0.007628425,1.015294,0.02794147,0.007438958,1.01483,0.02284349,0.007533692,1.015062,0.03172065,0.015047,1.015496,0.8915322,0.4780633,0.6552143,0,0.8915322,0.4780633,0.6552143
