unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754365269841,Target Loaded,13287,80.58602,83.04877,0,0,15,0.004266024,0.007103682,14.99192,0.5372595,-0.02092963,14.97984,-0.2093499,-0.006205708,14.99133,0.1639548,-0.01356767,14.98559,0.1079683,0.09832054,14.9913,2.040568,0.8180492,0.6161205,0.5278606,1.703528,1.276716,0.4784724
1754365269841,Target Set,13287,80.58602,83.04877,0,0,15,0.004266024,0.007103682,14.99192,0.5372595,-0.02092963,14.97984,-0.2093499,-0.006205708,14.99133,0.1639548,-0.01356767,14.98559,0.1079683,0.09832054,14.9913,2.040568,0.8180492,0.6161205,0.5278606,1.703528,1.276716,0.4784724
1754365269841,Playing,13287,80.58602,83.04877,0,0,15,0.004308462,0.007120833,14.99193,0.5372595,-0.02092963,14.97984,-0.2093499,-0.006205708,14.99133,0.1639548,-0.01356767,14.98559,0.1079683,0.09832054,14.9913,2.040376,0.8180492,0.6158028,0.5274898,1.703528,1.276716,0.4784724
1754365269851,Playing,13288,98.96679,94.98729,0,0,15,0.004361689,0.007139832,14.99195,0.5034,-0.019998,14.9811,-0.2433304,-0.005231574,14.99075,0.1300348,-0.01261479,14.98593,0.1100939,0.1021733,14.99128,1.910698,0.9479132,0.4865827,0.5432066,1.57458,1.411669,0.4449939
1754365269862,Playing,13289,79.99872,83.74586,0,0,15,0.004403651,0.007164985,14.99197,0.5056861,-0.01643598,14.98105,-0.2410409,-0.001583412,14.99081,0.1323226,-0.009009697,14.98593,0.1123953,0.1057818,14.99126,1.918569,0.9385778,0.4929749,0.5584812,1.57458,1.411669,0.4454334
1754365269874,Playing,13290,90.2576,88.62967,0,0,15,0.004439831,0.007182866,14.99199,0.5055624,-0.01446438,14.98108,-0.2411639,0.0004547238,14.99083,0.1321992,-0.007004827,14.98595,0.1117619,0.1079237,14.99126,1.917549,0.9389946,0.4917827,0.5623221,1.576691,1.409727,0.4458725
1754365269885,Playing,13291,105.1514,101.0209,0,0,15,0.004451215,0.007183179,14.992,0.5053546,-0.01265591,14.9811,-0.2413691,0.002367601,14.99084,0.1319928,-0.005144157,14.98597,0.1123618,0.1106103,14.99126,1.916425,0.9396197,0.4897892,0.5709552,1.57458,1.413747,0.4484978
1754365269896,Playing,13292,87.29127,90.72369,0,0,15,0.004477203,0.007182106,14.99201,0.5418463,-0.01263197,14.97977,-0.2047533,0.002437025,14.99148,0.1685465,-0.005097471,14.98563,0.1129476,0.1104226,14.99127,2.055761,0.7996635,0.6293179,0.5723243,1.705939,1.282527,0.4901886
1754365269907,Playing,13293,85.56808,86.85699,0,0,15,0.004500151,0.007159993,14.99203,0.5430911,-0.01273519,14.97975,-0.2035046,0.00249815,14.99152,0.1697932,-0.005118519,14.98563,0.1142198,0.1104139,14.99127,2.060516,0.7950006,0.6339648,0.5757331,1.705939,1.282527,0.4905876
1754365269918,Playing,13294,96.35767,93.9825,0,0,15,0.004522085,0.007139191,14.99204,0.5445055,-0.01561813,14.9797,-0.2020868,-0.0002548993,14.99155,0.1712093,-0.007936515,14.98563,0.1157361,0.1083087,14.99129,2.066396,0.7898148,0.640108,0.5747126,1.706512,1.283442,0.4929749
1754365269929,Playing,13295,95.47816,95.10424,0,0,15,0.004549325,0.007104501,14.99205,0.6075904,0.1844992,14.97616,-0.1387667,0.2006305,14.99117,0.2344118,0.1925649,14.98366,0.1171829,0.1057485,14.99131,2.403385,0.920261,1.129346,0.5719823,1.899295,1.043052,0.5581307
1754365269941,Playing,13296,80.79959,84.37576,0,0,15,0.00456804,0.007070377,14.99204,0.6084199,0.1782363,14.97619,-0.1379364,0.1943659,14.99125,0.2352418,0.1863011,14.98372,0.1180128,0.09948245,14.99133,2.39988,0.899399,1.116976,0.5588315,1.899295,1.04324,0.55778
1754365269952,Playing,13297,95.85154,92.98259,0,0,15,0.004584551,0.007048652,14.99203,0.6081717,0.1716577,14.97626,-0.1381848,0.1877927,14.99131,0.2349935,0.1797252,14.98379,0.1185898,0.0933954,14.99135,2.392038,0.8800449,1.100918,0.5460806,1.895891,1.045488,0.5542608
1754365269963,Playing,13298,87.94379,89.20349,0,0,15,0.004609942,0.007034704,14.99201,0.6067377,0.1679918,14.97633,-0.1396213,0.1840549,14.99132,0.2335582,0.1760233,14.98383,0.1164522,0.08902746,14.99136,2.383102,0.8724523,1.088045,0.53008,1.898986,1.043615,0.55778
1754365269974,Playing,13299,91.84845,91.18721,0,0,15,0.004645109,0.007033095,14.99199,0.6043455,0.1648656,14.97644,-0.1420174,0.1808727,14.99131,0.2311641,0.1728691,14.98388,0.1140628,0.08586329,14.99138,2.370998,0.8690815,1.073379,0.5154827,1.898986,1.04399,0.55778
1754365269985,Playing,13300,83.44598,85.38129,0,0,15,0.004689455,0.007037789,14.99197,0.6008931,0.1643853,14.97657,-0.1454739,0.180364,14.99126,0.2277096,0.1723747,14.98392,0.1106099,0.08536427,14.99139,2.35767,0.8762568,1.061463,0.5031891,1.898986,1.04399,0.55778
1754365269996,Playing,13301,89.85857,88.73924,0,0,15,0.004736543,0.007052496,14.99194,0.5988858,0.1940917,14.97628,-0.1474809,0.2102454,14.99084,0.2257025,0.2021686,14.98356,0.1081129,0.08580281,14.99138,2.381624,0.9701535,1.126917,0.4965344,1.92183,1.086425,0.6327289
1754365270007,Playing,13302,73.71369,77.47008,0,0,15,0.004791617,0.007065266,14.99191,0.5967952,0.1964709,14.97631,-0.149568,0.2128645,14.99076,0.2236136,0.2046677,14.98354,0.1059863,0.08834074,14.99135,2.376605,0.9829774,1.127264,0.4957456,1.921728,1.086425,0.6327289
1754365270018,Playing,13303,86.22399,84.03551,0,0,15,0.004848182,0.007066533,14.99189,0.5939134,0.2002016,14.97635,-0.1524482,0.2168134,14.99065,0.2207326,0.2085075,14.9835,0.1030698,0.09221642,14.99132,2.370338,1.001906,1.129172,0.4969283,1.921932,1.086425,0.6330382
