unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754365226937,Target Loaded,9436,90.08928,90.08382,0,0,15,0.01096112,0.006182075,14.99217,0.6012211,0.125284,14.97724,-0.1445831,0.1541227,14.99182,0.228319,0.1397034,14.98453,0.04589343,-0.05671804,14.992,2.302313,0.8204377,0.9753835,0.2755364,2.234408,1.085885,1.024884
1754365226937,Target Set,9436,90.08928,90.08382,0,0,15,0.01096112,0.006182075,14.99217,0.6012211,0.125284,14.97724,-0.1445831,0.1541227,14.99182,0.228319,0.1397034,14.98453,0.04589343,-0.05671804,14.992,2.302313,0.8204377,0.9753835,0.2755364,2.234408,1.085885,1.024884
1754365226937,Playing,9436,90.08928,90.08382,0,0,15,0.01099759,0.006192833,14.99218,0.6012211,0.125284,14.97724,-0.1445831,0.1541227,14.99182,0.228319,0.1397034,14.98453,0.04589343,-0.05671804,14.992,2.302143,0.8204377,0.9751828,0.2741124,2.234408,1.085885,1.024884
1754365226949,Playing,9437,85.19629,86.41817,0,0,15,0.01101053,0.006188512,14.99218,0.6050367,0.1283303,14.97707,-0.1407574,0.1573372,14.99183,0.2321396,0.1428338,14.98445,0.04967237,-0.05354592,14.99202,2.318747,0.8185275,0.9940628,0.2712421,2.234408,1.085705,1.024693
1754365226960,Playing,9438,85.7758,85.93639,0,0,15,0.01100564,0.006171137,14.99218,0.6182798,0.1260635,14.97653,-0.1274571,0.1552489,14.99201,0.2454113,0.1406562,14.98427,0.05151159,-0.05413079,14.99201,2.366702,0.7773286,1.033251,0.276953,2.274,1.052577,1.050902
1754365226971,Playing,9439,95.31889,92.97327,0,0,15,0.01101923,0.006160676,14.99219,0.6190796,0.124562,14.97652,-0.1266519,0.1538768,14.99203,0.2462139,0.1392194,14.98428,0.05228025,-0.05553447,14.992,2.368603,0.7712635,1.033251,0.2832403,2.273914,1.052577,1.050716
1754365226982,Playing,9440,91.69769,92.01659,0,0,15,0.01104444,0.00614962,14.9922,0.6209339,0.1249189,14.97646,-0.1247927,0.154301,14.99206,0.2480706,0.1396099,14.98426,0.05412066,-0.05512644,14.99202,2.375699,0.7679582,1.040046,0.2866737,2.274,1.052577,1.050902
1754365226992,Playing,9441,91.37761,91.53735,0,0,15,0.01106924,0.006133631,14.99222,0.6068039,0.09324294,14.97728,-0.1389771,0.1224986,14.9922,0.2339134,0.1078708,14.98474,0.0526219,-0.05509394,14.99204,2.301973,0.7255072,0.9364907,0.2825486,2.193567,0.9983841,0.9318824
1754365227004,Playing,9442,88.92762,89.58006,0,0,15,0.01108241,0.006125316,14.99223,0.6073183,0.09122774,14.97729,-0.1384593,0.1205636,14.99223,0.2344295,0.1058957,14.98476,0.05312067,-0.05705002,14.99204,2.302738,0.7195491,0.9352362,0.289391,2.193567,0.9983841,0.9318824
1754365227015,Playing,9443,89.74566,89.70425,0,0,15,0.01109987,0.006110892,14.99225,0.6057108,0.08964717,14.97738,-0.140065,0.1190649,14.99225,0.2328229,0.104356,14.98482,0.05149496,-0.05857012,14.99206,2.295758,0.721179,0.9272513,0.2920831,2.193567,0.9983841,0.9318824
1754365227027,Playing,9444,90.11851,90.01495,0,0,15,0.0111118,0.006106168,14.99227,0.5188524,-0.02821493,14.98096,-0.2272567,0.000848338,14.99138,0.1457978,-0.0136833,14.98617,0.05121005,-0.06012678,14.99207,1.945513,0.9112865,0.5207698,0.2954137,1.791986,1.089303,0.4029978
1754365227038,Playing,9445,88.94186,89.21014,0,0,15,0.01112616,0.006110445,14.99229,0.5173476,-0.02877164,14.98103,-0.2287655,0.0002159476,14.99137,0.1442911,-0.01427785,14.9862,0.04978389,-0.0613602,14.99208,1.939872,0.9170658,0.5154827,0.2973941,1.791986,1.090022,0.403483
1754365227049,Playing,9446,90.08441,89.86584,0,0,15,0.01114726,0.006119505,14.9923,0.5169091,-0.03008655,14.98106,-0.2292056,-0.00114356,14.99138,0.1438518,-0.01561505,14.98622,0.04927051,-0.06207432,14.9921,1.938459,0.9187712,0.5143426,0.2987072,1.791986,1.089303,0.4029978
1754365227060,Playing,9447,87.24937,87.90349,0,0,15,0.01116186,0.006124794,14.99231,0.4940403,-0.04737365,14.98181,-0.2521535,-0.0185357,14.99094,0.1209434,-0.03295468,14.98638,0.04798257,-0.06398305,14.9921,1.857305,1.010656,0.4458725,0.3032579,1.706512,1.160115,0.3039024
1754365227072,Playing,9448,91.37761,90.50908,0,0,15,0.01117235,0.006133944,14.9923,0.4914494,-0.05005033,14.98188,-0.2547528,-0.02140975,14.99088,0.1183483,-0.03573004,14.98638,0.04539502,-0.06677866,14.99209,1.848539,1.021633,0.4396856,0.3083766,1.706512,1.159947,0.3032579
1754365227083,Playing,9449,89.47985,89.73716,0,0,15,0.01116633,0.006147906,14.99229,0.4890178,-0.05311286,14.98193,-0.2571903,-0.02457368,14.99081,0.1159137,-0.03884327,14.98637,0.04296345,-0.06990291,14.99206,1.840794,1.032114,0.4365593,0.3146578,1.706512,1.159947,0.3032579
1754365227094,Playing,9450,91.48461,91.04774,0,0,15,0.01115477,0.006182089,14.99226,0.4814227,-0.05556147,14.98215,-0.2648038,-0.02704939,14.99063,0.1083094,-0.04130543,14.98639,0.03994828,-0.07254972,14.99203,1.813265,1.062384,0.4140146,0.3202056,1.688991,1.177527,0.2873554
1754365227105,Playing,9451,88.8494,89.39899,0,0,15,0.01113695,0.006225005,14.99222,0.478213,-0.05784127,14.98219,-0.2680165,-0.02937646,14.99053,0.1050982,-0.04360887,14.98636,0.03673822,-0.07485805,14.99198,1.802331,1.075382,0.4063823,0.324455,1.688991,1.177527,0.2873554
1754365227116,Playing,9452,90.45844,90.19358,0,0,15,0.01112574,0.006267563,14.99218,0.4707078,-0.05689929,14.98238,-0.2755329,-0.02860743,14.99034,0.09758744,-0.04275336,14.98636,0.02923143,-0.07401815,14.99195,1.773544,1.103581,0.3800071,0.3146578,1.688991,1.177693,0.2873554
1754365227127,Playing,9453,89.54235,89.70515,0,0,15,0.01111597,0.006327286,14.99212,0.4650127,-0.05162019,14.98252,-0.2812344,-0.02342479,14.99019,0.09188911,-0.03752249,14.98636,0.02353537,-0.06879452,14.99193,1.749212,1.123091,0.3516591,0.2907402,1.688991,1.177527,0.2880355
1754365227138,Playing,9454,87.05493,87.71748,0,0,15,0.01110572,0.006388471,14.99207,0.4278482,0.01498482,14.98374,-0.318501,0.04333065,14.98929,0.05467363,0.02915774,14.98651,0.01729065,-0.05712232,14.99194,1.593605,1.26764,0.1887116,0.2430897,1.593359,1.339399,0.3593647
1754365227150,Playing,9455,93.14456,91.7878,0,0,15,0.01108491,0.006462157,14.99202,0.4257839,0.02482393,14.98373,-0.3205642,0.05322371,14.98916,0.05260986,0.03902382,14.98644,0.01522034,-0.04725021,14.99192,1.586836,1.280083,0.2027088,0.2055842,1.593605,1.339545,0.3593647
1754365227160,Playing,9456,89.47185,90.05083,0,0,15,0.01105922,0.006518021,14.99195,0.4282647,0.1179107,14.98319,-0.3180615,0.146864,14.98857,0.0551016,0.1323874,14.98588,0.01414543,-0.03620765,14.99189,1.650787,1.367449,0.509757,0.1631294,1.689223,1.449694,0.6635236
1754365227172,Playing,9457,87.70237,88.28949,0,0,15,0.01105636,0.006569922,14.99189,0.4227889,0.1227372,14.98324,-0.3235303,0.1519085,14.98833,0.04962929,0.1373228,14.98578,0.008621931,-0.03125846,14.99184,1.635422,1.394093,0.5211454,0.1426525,1.689223,1.449694,0.6635236
1754365227183,Playing,9458,89.95637,89.53965,0,0,15,0.01105541,0.006608963,14.99183,0.4215661,0.127712,14.98317,-0.3247494,0.1570086,14.98819,0.04840837,0.1423603,14.98568,0.00737226,-0.02621223,14.99179,1.63626,1.406113,0.5388666,0.1266688,1.689223,1.449559,0.6635236
1754365227193,Playing,9459,92.16759,91.5106,0,0,15,0.01106966,0.006641865,14.99176,0.4655687,0.1267152,14.98174,-0.2805857,0.1560727,14.98917,0.09249151,0.1413939,14.98545,0.001315653,-0.02509391,14.99172,1.797112,1.252421,0.6019843,0.1266688,1.867393,1.280542,0.7260464
1754365227205,Playing,9460,86.75059,87.94059,0,0,15,0.01108795,0.00665994,14.99169,0.4633044,0.1295343,14.98172,-0.2828525,0.1588684,14.98903,0.09022593,0.1442014,14.98537,-0.001448929,-0.02143215,14.99166,1.79144,1.265013,0.6068404,0.1170339,1.868127,1.277328,0.7238871
1754365227216,Playing,9461,88.60535,88.43916,0,0,15,0.01110619,0.006695181,14.99164,0.459613,0.1339344,14.98174,-0.286538,0.1634695,14.98886,0.08653748,0.1487019,14.9853,-0.005078793,-0.01781023,14.99161,1.78246,1.285727,0.6148488,0.1119058,1.86886,1.279319,0.7265852
