unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754365150385,Target Loaded,0,0,0,0,0,15,0.005029213,0.007574606,14.99154,0.5527126,0.05913508,14.97893,-0.1930072,0.1001431,14.9908,0.1798527,0.07963911,14.98486,0.1550861,0.01922443,14.99078,2.103196,0.8353283,0.7228051,0.575053,1.528031,1.365874,0.25101
1754365150385,Target Set,0,0,0,0,0,15,0.005029213,0.007574606,14.99154,0.5527126,0.05913508,14.97893,-0.1930072,0.1001431,14.9908,0.1798527,0.07963911,14.98486,0.1550861,0.01922443,14.99078,2.103196,0.8353283,0.7228051,0.575053,1.528031,1.365874,0.25101
1754365150387,Playing,0,0,0,0,0,15,0.005045854,0.007566983,14.99154,0.5528758,0.0597605,14.97892,-0.1928465,0.1007237,14.9908,0.1800147,0.0802421,14.98486,0.1552518,0.01982599,14.99078,2.10394,0.8357967,0.7244276,0.5757331,1.528031,1.36573,0.2502292
1754365150397,Playing,2565,81.53349,61.15012,0,0,15,0.00505846,0.007576523,14.99155,0.5599981,0.08800565,14.97854,-0.1857156,0.1288659,14.9907,0.1871413,0.1084358,14.98462,0.1572012,0.02174276,14.99077,2.143841,0.8638874,0.7959845,0.583833,1.560974,1.373019,0.3505445
1754365150409,Playing,2566,94.95594,86.50449,0,0,15,0.005079079,0.007596836,14.99156,0.5595488,0.08942671,14.97856,-0.186166,0.1302694,14.9907,0.1866914,0.1098481,14.98463,0.1567533,0.02315496,14.99079,2.142837,0.8681804,0.7969672,0.5824909,1.560974,1.373019,0.3505445
1754365150421,Playing,2567,57.50233,64.75287,0,0,15,0.005101141,0.007635675,14.99159,0.5623338,0.09307201,14.97846,-0.1833807,0.1338873,14.99073,0.1894766,0.1134796,14.9846,0.1595432,0.02678653,14.99078,2.155495,0.8670527,0.8130105,0.5947903,1.560974,1.373019,0.3505445
1754365150432,Playing,2568,223.1844,183.5765,0,0,15,0.005127565,0.007677124,14.99162,0.5655217,0.1696661,14.97775,-0.1801884,0.2106897,14.98995,0.1926666,0.1901779,14.98385,0.1610932,0.02864616,14.99079,2.230375,1.050343,1.000538,0.6016592,1.637933,1.478167,0.6293179
1754365150443,Playing,2569,86.45434,110.7349,0,0,15,0.005175621,0.007716286,14.99167,0.5694761,0.1740253,14.97761,-0.1762293,0.2150786,14.98999,0.1966234,0.1945519,14.9838,0.1650462,0.03302323,14.9908,2.249337,1.052948,1.022782,0.6183397,1.637694,1.478299,0.6293179
1754365150454,Playing,2570,88.28541,93.89778,0,0,15,0.005219164,0.007739166,14.99172,0.5735337,0.1768051,14.97747,-0.1721649,0.217927,14.99005,0.2006844,0.197366,14.98376,0.1690947,0.03584145,14.9908,2.267104,1.050902,1.041362,0.6355062,1.637933,1.478167,0.6293179
1754365150465,Playing,2571,94.34318,94.23183,0,0,15,0.005264971,0.007730681,14.99177,0.5772122,0.1777053,14.97737,-0.16848,0.2188871,14.99013,0.2043661,0.1982962,14.98375,0.1727655,0.03677448,14.9908,2.281304,1.044739,1.053692,0.6495153,1.637933,1.478167,0.6296288
1754365150476,Playing,2572,90.25271,91.24749,0,0,15,0.005302984,0.007700032,14.9918,0.5802633,0.1772519,14.97729,-0.1654248,0.2184619,14.9902,0.2074192,0.1978569,14.98375,0.1758137,0.03633637,14.9908,2.291918,1.036465,1.061094,0.660568,1.637694,1.478299,0.6296288
1754365150487,Playing,2573,89.15437,89.67765,0,0,15,0.005325418,0.007652504,14.99182,0.5824488,0.1736297,14.97727,-0.1632347,0.2148833,14.9903,0.209607,0.1942565,14.98378,0.1779925,0.03273605,14.9908,2.296099,1.020867,1.057954,0.6667597,1.637694,1.478299,0.6293179
1754365150499,Playing,2574,86.91722,87.60733,0,0,15,0.005336799,0.00761247,14.99183,0.5758953,-0.0005047638,14.97845,-0.1698053,0.04032759,14.99163,0.203045,0.01991141,14.98504,0.1795702,0.0275513,14.9908,2.181757,0.680988,0.7574393,0.6702721,1.519426,1.336034,0.09487279
1754365150509,Playing,2575,94.83437,93.02761,0,0,15,0.005350146,0.007577489,14.99185,0.574788,-0.004518304,14.97851,-0.1709122,0.03633731,14.99164,0.2019379,0.0159095,14.98507,0.1784631,0.02354844,14.99084,2.177627,0.6824232,0.7525149,0.6644077,1.519297,1.335888,0.09487279
1754365150520,Playing,2576,87.0807,88.56743,0,0,15,0.00536117,0.007536589,14.99186,0.5712208,-0.0143833,14.97864,-0.1744889,0.02636002,14.99163,0.198366,0.005988358,14.98513,0.1752933,0.0203436,14.99089,2.165098,0.6909717,0.7380747,0.6510199,1.519684,1.336913,0.1027921
1754365150531,Playing,2577,92.25774,91.33516,0,0,15,0.00536973,0.007508018,14.99188,0.566237,-0.01643755,14.97884,-0.1794749,0.02434001,14.99159,0.1933811,0.003951229,14.98521,0.1703072,0.01830683,14.99097,2.146395,0.709416,0.7192771,0.6314908,1.519812,1.336766,0.1027921
1754365150542,Playing,2578,90.00333,90.33629,0,0,15,0.005398568,0.007497454,14.9919,0.5632836,-0.01629472,14.97898,-0.1824207,0.02466886,14.99157,0.1904314,0.004187072,14.98528,0.1673599,0.01854875,14.99102,2.134876,0.7209076,0.707759,0.6205508,1.519684,1.336913,0.1027921
1754365150553,Playing,2579,69.6869,74.84924,0,0,15,0.005444213,0.007521492,14.99193,0.560295,-0.01505499,14.97912,-0.1853928,0.02625204,14.99156,0.1874511,0.005598527,14.98534,0.1641807,0.01930414,14.99108,2.123109,0.7324861,0.6963314,0.6081289,1.520199,1.336327,0.1027921
1754365150564,Playing,2580,97.10246,91.53915,0,0,15,0.005497467,0.007520888,14.99195,0.5573262,-0.02116331,14.97924,-0.1883405,0.020569,14.99155,0.1844929,-0.0002971552,14.98539,0.1619271,0.0202975,14.99113,2.112574,0.7423044,0.6849989,0.5997046,1.520199,1.338668,0.1170339
1754365150576,Playing,2581,113.7462,108.1945,0,0,15,0.005519927,0.007504719,14.99196,0.5573366,-0.02683781,14.97924,-0.1883198,0.01507964,14.99157,0.1845084,-0.005879087,14.9854,0.1603361,0.01571979,14.99116,2.113778,0.7412493,0.6861406,0.5928131,1.52675,1.332367,0.1251145
1754365150587,Playing,2582,90.17539,94.68016,0,0,15,0.005536042,0.00745325,14.99196,0.5889302,-0.02507941,14.97798,-0.1566061,0.0168239,14.99201,0.216162,-0.004127754,14.98499,0.1593297,0.0116276,14.99117,2.23397,0.6205508,0.8064859,0.5878411,1.64877,1.207394,0.2255535
1754365150598,Playing,2583,93.64524,93.90397,0,0,15,0.005558398,0.007412038,14.99196,0.5869666,-0.03063834,14.97804,-0.1585787,0.01113347,14.99199,0.2141939,-0.009752432,14.98501,0.1577556,0.005889974,14.99118,2.227653,0.6274496,0.8003972,0.5814822,1.647226,1.209175,0.2246844
1754365150610,Playing,2584,90.29671,91.19853,0,0,15,0.005581435,0.007381957,14.99194,0.5855186,-0.03169777,14.97808,-0.1600272,0.01008401,14.99196,0.2127457,-0.01080688,14.98502,0.1559098,0.004936736,14.99119,2.222375,0.6327289,0.7950006,0.5743721,1.648889,1.207718,0.2264194
1754365150620,Playing,2585,82.89468,84.97064,0,0,15,0.005607198,0.007374727,14.99194,0.5915393,0.07075109,14.97776,-0.1539903,0.112821,14.99165,0.2187745,0.09178606,14.9847,0.1561281,0.004273616,14.99118,2.253335,0.7311491,0.8764802,0.5753932,1.68435,1.255853,0.4116447
1754365150632,Playing,2586,98.51247,95.12701,0,0,15,0.005630196,0.007391381,14.99194,0.5935498,0.07157965,14.97768,-0.1519742,0.1137152,14.99166,0.2207878,0.09264742,14.98467,0.1581345,0.00514071,14.99116,2.261226,0.7268545,0.8849231,0.5828267,1.68435,1.255542,0.4116447
1754365150643,Playing,2587,90.17295,91.41147,0,0,15,0.005644731,0.007414055,14.99195,0.5972744,0.07516122,14.97752,-0.1482422,0.1173718,14.99168,0.2245161,0.09626652,14.9846,0.1618561,0.008767438,14.99113,2.276839,0.7228051,0.9033066,0.5970887,1.68435,1.255853,0.4121198
1754365150654,Playing,2588,86.31553,87.58952,0,0,15,0.005653816,0.007436488,14.99195,0.6039349,0.07870546,14.97725,-0.141577,0.1208904,14.99173,0.231179,0.09979793,14.98449,0.1685252,0.01229796,14.99107,2.303758,0.7102429,0.9320924,0.6227542,1.68435,1.255542,0.4116447
