unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754365189993,Target Loaded,6120,88.4854,89.62794,0,0,15,0.01115292,0.007468991,14.99203,0.3758446,0.1351054,14.98463,-0.3703267,0.1708221,14.98709,0.002758935,0.1529638,14.98586,0.009337306,0.006606698,14.99205,1.476975,1.586096,0.5570779,0,1.48464,1.581029,0.5602303
1754365189994,Target Set,6120,88.4854,89.62794,0,0,15,0.01115292,0.007468991,14.99203,0.3758446,0.1351054,14.98463,-0.3703267,0.1708221,14.98709,0.002758935,0.1529638,14.98586,0.009337306,0.006606698,14.99205,1.476975,1.586096,0.5570779,0,1.48464,1.581029,0.5602303
1754365189994,Playing,6120,88.4854,89.62794,0,0,15,0.01115239,0.007469222,14.99205,0.3776544,0.1360309,14.98457,-0.368518,0.1717203,14.98712,0.004568234,0.1538756,14.98585,0.01115274,0.007519118,14.99205,1.48464,1.581029,0.5602303,0,1.48464,1.581029,0.5602303
1754365190005,Playing,6121,86.08593,86.97144,0,0,15,0.01114869,0.007488191,14.99207,0.3776507,0.1360501,14.9846,-0.3685217,0.1717392,14.98714,0.004564539,0.1538946,14.98587,0.01114911,0.007537976,14.99207,1.484772,1.581029,0.5602303,0,1.48464,1.581029,0.5602303
1754365190015,Playing,6122,87.93683,87.69548,0,0,15,0.01114887,0.007503007,14.9921,0.377651,0.1360644,14.98463,-0.3685214,0.1717542,14.98717,0.004564792,0.1539093,14.9859,0.01114935,0.007552825,14.9921,1.48464,1.581029,0.5602303,0,1.48464,1.580906,0.5598809
1754365190027,Playing,6123,92.39411,91.21945,0,0,15,0.01113462,0.007496461,14.99213,0.3480884,0.1374777,14.9854,-0.3981607,0.1731546,14.98634,-0.02503616,0.1553161,14.98587,0.0111351,0.007546291,14.99213,1.380552,1.6876,0.5821548,0,1.380552,1.6876,0.5818186
1754365190038,Playing,6124,92.81087,92.41301,0,0,15,0.01111907,0.007470474,14.99214,0.3480725,0.1374517,14.98541,-0.3981763,0.1731291,14.98635,-0.02505191,0.1552904,14.98588,0.01111931,0.007520378,14.99214,1.380552,1.687716,0.5821548,0,1.380552,1.6876,0.5818186
1754365190049,Playing,6125,88.7926,89.69771,0,0,15,0.01110452,0.007416226,14.99214,0.3487024,0.1372575,14.9854,-0.3975496,0.1728685,14.98638,-0.0244236,0.155063,14.98589,0.01110476,0.007466137,14.99214,1.382676,1.685047,0.5804718,0,1.382676,1.685047,0.5804718
1754365190060,Playing,6126,91.54407,91.08247,0,0,15,0.01109499,0.007365957,14.99213,0.3480485,0.1373471,14.9854,-0.3982004,0.1730244,14.98635,-0.02507594,0.1551857,14.98588,0.01109535,0.007415786,14.99213,1.380552,1.6876,0.5821548,0,1.38041,1.6876,0.5818186
1754365190071,Playing,6127,87.03069,88.04363,0,0,15,0.01109016,0.007320069,14.99213,0.3456267,0.08685443,14.98581,-0.4006285,0.1224002,14.98676,-0.02750088,0.1046273,14.98628,0.01109052,0.007370003,14.99214,1.314476,1.633866,0.4000739,0,1.314327,1.633866,0.4000739
