unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754365304113,Target Loaded,16364,89.71265,90.2347,0,0,15,0.003929257,0.0004934669,14.99883,0.338579,-0.1560143,14.99183,-0.407684,-0.1210011,14.99336,-0.03455248,-0.1385077,14.9926,0.008652627,0.005344331,14.99877,1.411669,1.639486,0.5510744,0.01978234,1.403327,1.66201,0.5740312
1754365304113,Target Set,16364,89.71265,90.2347,0,0,15,0.003929257,0.0004934669,14.99883,0.338579,-0.1560143,14.99183,-0.407684,-0.1210011,14.99336,-0.03455248,-0.1385077,14.9926,0.008652627,0.005344331,14.99877,1.411669,1.639486,0.5510744,0.01978234,1.403327,1.66201,0.5740312
1754365304113,Playing,16364,89.71265,90.2347,0,0,15,0.004013658,0.0005282164,14.99878,0.3339642,-0.1607341,14.99189,-0.4123039,-0.1258212,14.99319,-0.03916985,-0.1432777,14.99254,0.004014075,0.0005781651,14.99878,1.403327,1.662246,0.5736903,0,1.403466,1.662246,0.5740312
1754365304125,Playing,16365,79.94436,82.51694,0,0,15,0.004111171,0.0005446672,14.99873,0.3340617,-0.160718,14.99184,-0.4122063,-0.1258048,14.99315,-0.03907229,-0.1432614,14.99249,0.004111588,0.0005945563,14.99873,1.403327,1.662128,0.5740312,0,1.403327,1.662246,0.5740312
1754365304136,Playing,16366,80.58797,81.07021,0,0,15,0.004191577,0.0005838871,14.99867,0.3351601,-0.1412452,14.99195,-0.4111051,-0.1062808,14.99327,-0.03797252,-0.123763,14.99261,0.004191875,0.0006337762,14.99867,1.375724,1.638172,0.5016313,0,1.375866,1.638292,0.5020211
1754365304148,Playing,16367,77.10338,78.09509,0,0,15,0.004271865,0.000615418,14.99863,0.3352406,-0.141214,14.99191,-0.4110247,-0.1062497,14.99323,-0.03789206,-0.1237318,14.99257,0.004272103,0.0006654859,14.99863,1.375866,1.638172,0.5020211,0,1.375866,1.638292,0.5020211
1754365304160,Playing,16368,101.7988,95.87286,0,0,15,0.004443407,0.0006626844,14.99855,0.5587211,-0.1516048,14.98466,-0.1868094,-0.1167768,14.99808,0.1859559,-0.1341908,14.99137,0.004443824,0.0007125735,14.99855,2.196776,0.8572935,0.8643403,0,2.196776,0.8575217,0.8643403
1754365304172,Playing,16369,83.03648,86.24557,0,0,15,0.004516721,0.0007059574,14.99854,0.5582846,-0.151774,14.98466,-0.1872423,-0.1168619,14.99806,0.1855212,-0.134318,14.99136,0.004517078,0.0007557273,14.99854,2.195172,0.8593453,0.8629809,0,2.195172,0.8593453,0.8629809
1754365304183,Playing,16370,89.49988,88.6863,0,0,15,0.004599214,0.0007440448,14.99852,0.5588766,-0.1515234,14.98463,-0.1866534,-0.1166961,14.99805,0.1861116,-0.1341097,14.99134,0.004599452,0.0007939935,14.99852,2.196687,0.8572935,0.8641139,0,2.196776,0.8575217,0.8643403
1754365304195,Playing,16371,84.63889,85.65074,0,0,15,0.004671037,0.0007929206,14.99852,0.5589486,-0.1514745,14.98463,-0.1865817,-0.1166466,14.99805,0.1861834,-0.1340605,14.99134,0.004671395,0.0008428693,14.99852,2.196776,0.8572935,0.8641139,0,2.196865,0.8575217,0.8641139
