unix_ms,event,frame,fps,smoothed_fps,calib_dir_x,calib_dir_y,calib_dir_z,target_dir_x,target_dir_y,target_dir_z,left_dir_x,left_dir_y,left_dir_z,right_dir_x,right_dir_y,right_dir_z,avg_dir_x,avg_dir_y,avg_dir_z,head_dir_x,head_dir_y,head_dir_z,left_target_diff,right_target_dif,avg_target_diff,head_target_diff,left_head_diff,right_head_diff,avg_head_diff
1754365344453,Target Loaded,19985,95.22086,94.11164,0,0,15,0.009485006,0.004425406,14.99012,0.618004,-0.1083056,14.97432,-0.1273082,-0.07355309,14.99057,0.2453479,-0.09092933,14.98245,0.01081002,0.003081858,14.99008,2.366619,0.6016592,0.972772,0,2.360657,0.6039315,0.966516
1754365344453,Target Set,19985,95.22086,94.11164,0,0,15,0.009485006,0.004425406,14.99012,0.618004,-0.1083056,14.97432,-0.1273082,-0.07355309,14.99057,0.2453479,-0.09092933,14.98245,0.01081002,0.003081858,14.99008,2.366619,0.6016592,0.972772,0,2.360657,0.6039315,0.966516
1754365344453,Playing,19985,95.22086,94.11164,0,0,15,0.009472013,0.004412234,14.99008,0.6166384,-0.1070871,14.97439,-0.1286663,-0.07213604,14.99057,0.2439861,-0.08961156,14.98248,0.009472489,0.004462302,14.99008,2.360657,0.6036074,0.9661109,0,2.360657,0.6036074,0.9661109
1754365344465,Playing,19986,89.69495,90.79912,0,0,15,0.009457469,0.004422069,14.99005,0.6208727,-0.2017881,14.97317,-0.1244093,-0.167187,14.98981,0.2482317,-0.1844876,14.98149,0.009457707,0.004472017,14.99005,2.467517,0.8318071,1.164325,0,2.467517,0.8320423,1.164493
1754365344475,Playing,19987,81.28957,83.66696,0,0,15,0.009453773,0.004458547,14.99007,0.620869,-0.2017519,14.97318,-0.1244127,-0.1671508,14.98982,0.2482282,-0.1844514,14.9815,0.009454012,0.004508495,14.99007,2.467517,0.8318071,1.164493,0,2.467597,0.8320423,1.164493
1754365344487,Playing,19988,98.84549,95.05086,0,0,15,0.009463906,0.004511476,14.9901,0.6208794,-0.201699,14.97321,-0.1244026,-0.1670979,14.98985,0.2482384,-0.1843984,14.98153,0.009464025,0.004561424,14.9901,2.467517,0.8318071,1.164325,0,2.467597,0.8320423,1.164493
1754365344497,Playing,19989,89.00519,90.5166,0,0,15,0.009488463,0.004558742,14.99013,0.6161755,-0.2945262,14.97187,-0.1291243,-0.2602653,14.98849,0.2435256,-0.2773957,14.98018,0.00948894,0.004608512,14.99013,2.586643,1.142267,1.401234,0,2.586869,1.142781,1.401513
1754365344509,Playing,19990,83.96376,85.60197,0,0,15,0.009507418,0.004606068,14.99017,0.6161942,-0.294479,14.97191,-0.1291054,-0.2602179,14.98852,0.2435444,-0.2773485,14.98022,0.009507656,0.004655778,14.99017,2.586794,1.14261,1.401234,0,2.586869,1.142781,1.401373
1754365344520,Playing,19991,97.25923,94.34492,0,0,15,0.009530783,0.004641116,14.99021,0.6162176,-0.2944434,14.97195,-0.1290821,-0.2601828,14.98856,0.2435677,-0.2773131,14.98026,0.00953114,0.004691184,14.99021,2.586643,1.142267,1.401234,0,2.586718,1.14261,1.401373
1754365344531,Playing,19992,89.97742,91.06929,0,0,15,0.009542823,0.004672408,14.99024,0.6162299,-0.2944126,14.97198,-0.1290697,-0.2601516,14.9886,0.2435801,-0.2772821,14.98029,0.00954318,0.004722416,14.99024,2.586718,1.142438,1.401234,0,2.586869,1.142781,1.401373
1754365344542,Playing,19993,85.44891,86.854,0,0,15,0.009538054,0.004684269,14.99026,0.620954,-0.2015261,14.97337,-0.1243285,-0.1669252,14.99002,0.2483128,-0.1842256,14.9817,0.009538412,0.004734159,14.99026,2.467597,0.8318071,1.164157,0,2.467597,0.8320423,1.164157
1754365344554,Playing,19994,93.50688,91.84366,0,0,15,0.009514809,0.004686832,14.99027,0.6209302,-0.2015232,14.97339,-0.124352,-0.1669224,14.99003,0.2482891,-0.1842228,14.98171,0.009515166,0.004736722,14.99027,2.467517,0.8318071,1.164157,0,2.467597,0.8318071,1.164493
1754365344564,Playing,19995,87.95539,88.92746,0,0,15,0.009493589,0.004681349,14.99029,0.5595908,-0.09162414,14.97703,-0.185958,-0.05660188,14.99008,0.1868164,-0.07411301,14.98356,0.009493828,0.004731297,14.99029,2.135426,0.7828471,0.741777,0,2.135426,0.7828471,0.7420408
1754365344575,Playing,19996,89.26101,89.17762,0,0,15,0.009490371,0.004681587,14.99031,0.559588,-0.0916239,14.97706,-0.1859613,-0.05660164,14.99011,0.1868133,-0.07411277,14.98358,0.009490848,0.004731476,14.99031,2.135426,0.7828471,0.7420408,0,2.135426,0.7828471,0.7420408
